auc_roc,0.5354553492484526,0.5513351016799293,0.5867020335985853,0.5984438549955791,0.5920070733863838,0.5918302387267904,0.601237842617153,0.612343059239611,0.6050574712643678,0.6022988505747128,0.6100442086648983,0.6049867374005305,0.6438196286472149,0.6761450044208664,0.673103448275862,0.6919893899204245,0.6970114942528736,0.7005128205128205,0.7102033598585323,0.7148717948717949,0.71342175066313,0.7087533156498674,0.7169938107869142,0.7211671087533157,0.7203890362511053,0.7102033598585323,0.7162511052166224,0.725764809902741,0.7280990274093723,0.7310344827586207,0.736763925729443,0.7374712643678161,0.7380725022104332,0.7294783377541998,0.7324137931034482,0.7351724137931035,0.7388152077807251,0.743129973474801,0.7430238726790451,0.7482935455349249,0.7576657824933688,0.7629000884173298,0.7580901856763926,0.7607427055702918,0.7590097259062776,0.7595048629531388,0.7568523430592397,0.7580194518125554,0.7587975243147658,0.7615561450044208,0.7620159151193634,0.7544473916887711,0.755473032714412,0.7557559681697613,0.7556852343059239,0.7604244031830238,0.7612024756852342,0.762475685234306,0.7626878868258179,0.7628293545534925,0.763395225464191,0.7651989389920424,0.7663306808134395,0.7806542882404951,0.7807603890362511,0.7799469496021221,0.7825994694960212,0.7807603890362511,0.7795579133510169,0.782316534040672,0.7844739168877101,0.7856410256410258,0.785817860300619,0.8009902740937224,0.7994341290893016,0.801131741821397,0.8026878868258179,0.8039257294429709,0.8049513704686119,0.8054111405835545,0.8074270557029178,0.8087002652519893,0.8084173297966402,0.8128028293545535,0.8134394341290893,0.8153492484526967,0.815419982316534,0.8217506631299735,0.8208311229000884,0.8199823165340406,0.8206896551724138,0.8213969938107869,0.8213616268788683,0.8240848806366048,0.8256763925729443,0.8258178603006189,0.8383023872679045,0.8375950486295314,0.8381962864721485,0.8384792219274978,0.8384792219274978
auc_pr,0.14313478969713941,0.14947390150189466,0.15771204163819857,0.1628548319202909,0.1613373976458639,0.16718375449033945,0.16899584406266094,0.17282549880764364,0.16994920778824113,0.16919168446483718,0.18328147770835054,0.18186666876123472,0.22442892407817078,0.2649356024541363,0.26342057416797393,0.2931964262077413,0.2952231367322269,0.29730168795842704,0.3056786809493936,0.3050330857029804,0.3056778223355229,0.30155996473290886,0.3179413407388101,0.32129543361161533,0.3193745117902878,0.31412287327932126,0.31982814138105997,0.33450462159396915,0.3312641720460386,0.3323391474314388,0.35157758963299157,0.35172148589912083,0.3526155181095171,0.3488959922346898,0.34902184538906234,0.3508452986843932,0.3542946726420722,0.3699059600915819,0.36776875043357715,0.3749269978189853,0.3774169472231348,0.3815371209622023,0.38018661974549306,0.38248241115919474,0.379675124100767,0.3801091284333545,0.37323050165021737,0.37314754026385755,0.37611455127027993,0.3768350833074697,0.3779276837414429,0.3783838645829956,0.37665545607930484,0.37732875660389587,0.37902404122871836,0.38288599382362576,0.38328259522350167,0.38445243479950497,0.38453588200706873,0.38467812948813307,0.3864746825586805,0.38593072845039333,0.38695351710574,0.40917116314936564,0.41248144533224596,0.4118972957464149,0.41820403617413265,0.4175281670006644,0.41698106784180444,0.42154619580568237,0.42029502853283623,0.42083388949941364,0.4212258672251077,0.4308414006354973,0.4284959918868787,0.43047861539321575,0.44328437605833293,0.44600114737545227,0.4597576699392059,0.46016196721598424,0.46197851696474995,0.4631697410660054,0.46038416736612686,0.4873424618185769,0.48949398541801104,0.49468411963241843,0.49283955604663465,0.495263667387971,0.4908985669363749,0.48908105454598877,0.49031922177391096,0.49105896365861634,0.4912284837338393,0.5071792861834689,0.5049513727302979,0.5051163339249115,0.5263398541210618,0.525997971365392,0.5255396700514331,0.5266023598318873,0.5229952773348348
auc_roc_bag,0.4800000000000001,0.44,0.4,0.4,0.4,0.43999999999999995,0.43999999999999995,0.48,0.48,0.48,0.4,0.4,0.4,0.48,0.48,0.36,0.36,0.36,0.52,0.56,0.56,0.48,0.43999999999999995,0.52,0.52,0.52,0.6,0.56,0.56,0.52,0.64,0.6799999999999999,0.64,0.6,0.6,0.6,0.64,0.6,0.56,0.6,0.56,0.64,0.64,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.64,0.64,0.6799999999999999,0.64,0.64,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.76,0.76,0.72,0.76,0.76,0.8,0.8,0.8,0.8,0.8,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
auc_pr_bag,0.5749206349206348,0.5534126984126984,0.4034126984126984,0.4034126984126984,0.4034126984126984,0.4217460317460317,0.4217460317460317,0.5717460317460317,0.5717460317460317,0.5717460317460317,0.40793650793650793,0.40793650793650793,0.4034126984126984,0.43603174603174605,0.43603174603174605,0.39269841269841266,0.39269841269841266,0.39269841269841266,0.4588888888888889,0.47555555555555556,0.4729761904761905,0.4393650793650794,0.42507936507936506,0.45345238095238094,0.4588888888888889,0.4588888888888889,0.49142857142857144,0.4701190476190476,0.4701190476190476,0.456031746031746,0.5405555555555556,0.5546428571428571,0.5405555555555556,0.521031746031746,0.521031746031746,0.521031746031746,0.5351190476190476,0.521031746031746,0.5067460317460317,0.521031746031746,0.48936507936507934,0.5351190476190476,0.5351190476190476,0.5546428571428571,0.5546428571428571,0.5546428571428571,0.5351190476190476,0.5351190476190476,0.5546428571428571,0.5351190476190476,0.5351190476190476,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.7329761904761904,0.7329761904761904,0.5829761904761905,0.7329761904761904,0.7329761904761904,0.8163095238095237,0.8163095238095237,0.8163095238095237,0.8163095238095237,0.8163095238095237,0.8930952380952379,0.8930952380952379,0.8930952380952379,0.8930952380952379,0.8930952380952379,0.8930952380952379,0.8930952380952379,0.8930952380952379
Date,2024-06-13
Time,79.36121892929077
seed,12
Number of anomalous bags,5
Number of anomalies,65
Rewards bXagX 0,4.7441026122638116e-06,1.3756192302172628e-06,1.0127954801187845e-06,4.617556714553965e-07,1.452202761301886e-07,6.253910305389817e-07,8.941957634119581e-07,4.952110394733158e-07,3.1011307112167844e-07,1.4229465956890432e-06,5.64911330298899e-07,2.921719605342435e-06,1.3359276600338457e-06,3.1577764046446046e-07,2.2275343363422867e-06,3.1846309331163317e-07,1.5535560736232232e-07,7.863062412388549e-07,1.1042613472386746e-06,1.7364537194798856e-06,3.4527636296654195e-07,1.039149620283825e-06,2.7030461692371854e-07,2.4385376129480573e-07,4.617416420071705e-07,1.399831856632627e-06,2.5436714217905302e-06,7.634092399078764e-07,1.227750216724102e-07,1.7634796407426475e-06,1.2048343400979956e-07,7.183657025731167e-08,3.3735584181163343e-07,3.958016485810303e-07,3.111367615395908e-07,4.92254775902547e-07,6.389432547769742e-07,5.295091740257319e-07,1.280568649328425e-06,5.403427709261341e-07,9.179797996807602e-07,1.9913995930252685e-07,2.3049732869817143e-07,4.171263866406856e-07,5.4544700913965206e-08,6.179267863361425e-07,1.4741025598819283e-07,6.149877853230558e-07,1.0591710736062115e-06,3.423744371633613e-08,2.0878167998813164e-06,2.0560280000909727e-07,3.9233567940597395e-08,7.665926808792405e-07,1.2839466781537969e-06,4.652070861070662e-07,1.137908965796788e-06,2.2677511996083865e-08,1.447905476198437e-08,3.9306770435016715e-08,4.446116837031998e-07,9.866444744149867e-08,3.8853777061855504e-07,2.8732602225444e-07,1.0228391219234039e-07,4.200445302407629e-07,1.349703972504092e-07,1.5670223979579348e-07,3.58408011286443e-07,1.7051128493525273e-07,7.279344397095268e-07,1.4154288897478846e-08,1.6815077943434513e-06,2.5221013297253227e-07,1.6619757694350522e-07,4.3622360631642327e-07,1.9913493205995456e-07,5.437379122134782e-07,1.1443820055811061e-07,1.1336361913634086e-07,8.490042255508713e-07,3.488818693151559e-07,1.4146322840019488e-06,1.1387185299608923e-07,3.538481348732643e-07,1.1341234864015882e-06,4.3055042171334176e-07,3.955054211089715e-07,7.978079982768559e-07,1.4474684572382238e-07,7.05547338728031e-08,1.6403062173347494e-07,4.0588516527358505e-07,1.3327687194981973e-07,2.0474072129530347e-07,2.0848930627051462e-06,1.9026907788279085e-07,5.376252699787197e-08,1.6229108000058888e-07,1.6617304474251696e-07
Prob contr bag 0,0.04744102612264334,0.013756192302174142,0.01012795480118896,0.004617556714554474,0.0014522027613020458,0.006253910305390506,0.008941957634120565,0.004952110394733703,0.0031011307112171257,0.014229465956891998,0.005649113302989612,0.029217196053427565,0.013359276600339929,0.0031577764046449523,0.02227534336342532,0.0031846309331166824,0.0015535560736233943,0.007863062412389415,0.011042613472387964,0.01736453719480077,0.0034527636296657997,0.010391496202839395,0.002703046169237483,0.002438537612948326,0.004617416420072213,0.01399831856632781,0.025436714217908104,0.007634092399079605,0.0012277502167242374,0.01763479640742842,0.0012048343400981282,0.0007183657025731958,0.0033735584181167058,0.003958016485810739,0.0031113676153962508,0.004922547759026012,0.006389432547770447,0.005295091740257902,0.012805686493285659,0.005403427709261937,0.009179797996808613,0.0019913995930254877,0.0023049732869819682,0.004171263866407315,0.0005454470091397121,0.006179267863362105,0.0014741025598820907,0.0061498778532312354,0.01059171073606328,0.000342374437163399,0.020878167998815464,0.0020560280000911993,0.0003923356794060171,0.00766592680879325,0.012839466781539383,0.004652070861071175,0.011379089657969133,0.00022677511996086364,0.00014479054761985964,0.0003930677043502104,0.0044461168370324875,0.0009866444744150954,0.0038853777061859784,0.0028732602225447165,0.0010228391219235166,0.004200445302408091,0.0013497039725042406,0.0015670223979581074,0.003584080112864825,0.001705112849352715,0.00727934439709607,0.00014154288897480404,0.016815077943436365,0.0025221013297256007,0.0016619757694352354,0.004362236063164713,0.001991349320599765,0.005437379122135381,0.001144382005581232,0.0011336361913635335,0.008490042255509648,0.0034888186931519433,0.014146322840021047,0.0011387185299610177,0.003538481348733033,0.01134123486401713,0.0043055042171338915,0.003955054211090151,0.007978079982769438,0.0014474684572383834,0.0007055473387281088,0.00164030621733493,0.004058851652736298,0.001332768719498344,0.0020474072129532603,0.020848930627053758,0.001902690778828118,0.0005376252699787789,0.0016229108000060677,0.0016617304474253526
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,8,8,9,9,9,9
Rewards bag 1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,8,8,8,8,9,9,9,9,9,9
Rewards bag 2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rewards bag 3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,9,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12
Rewards bag 5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 7,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12
Rewards bag 8,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12
Rewards bag 9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
