auc_roc,0.4716212606837607,0.467548076923077,0.4707532051282052,0.4150641025641026,0.40117521367521364,0.39302884615384615,0.4736912393162393,0.4985977564102564,0.492321047008547,0.48978365384615385,0.5025373931623931,0.5029380341880342,0.508079594017094,0.5094818376068375,0.5054754273504274,0.5168936965811965,0.5184294871794872,0.5124198717948718,0.5117521367521367,0.5133547008547008,0.5184962606837606,0.5188969017094016,0.5200988247863247,0.5217681623931624,0.5197649572649572,0.5216346153846154,0.5205662393162394,0.5117521367521367,0.5081463675213675,0.5176282051282051,0.513221153846154,0.5084134615384616,0.5096821581196581,0.5079460470085471,0.5036057692307693,0.5426682692307693,0.5332532051282052,0.5335870726495727,0.5343883547008547,0.5303819444444444,0.531784188034188,0.5267094017094017,0.5268429487179487,0.5267761752136753,0.5309829059829059,0.5323851495726496,0.5329193376068376,0.5385950854700855,0.5380608974358975,0.5365251068376069,0.5367922008547008,0.5295138888888888,0.5247729700854701,0.5287126068376069,0.5298477564102564,0.5293135683760684,0.5305822649572649,0.5314503205128205,0.5315838675213675,0.5292467948717949,0.5298477564102564,0.5254407051282052,0.5201655982905984,0.5164930555555556,0.5176949786324786,0.516426282051282,0.515224358974359,0.5162259615384615,0.5601629273504274,0.5588942307692308,0.5574919871794872,0.5590945512820513,0.5589610042735043,0.5592948717948718,0.5608974358974359,0.5635683760683761,0.5657051282051282,0.5653044871794872,0.5645699786324787,0.5675080128205128,0.5716479700854701,0.5731169871794872,0.570446047008547,0.5683760683760684,0.5669738247863249,0.5684428418803418,0.5692441239316239,0.5692441239316239,0.5747863247863247,0.5747863247863247,0.5769898504273503,0.578525641025641,0.5768563034188035,0.6073717948717948,0.6073717948717948,0.6083733974358975,0.6086404914529915,0.6113114316239316,0.6071047008547009,0.6042334401709402,0.602764423076923
auc_pr,0.08706923047945737,0.08690430320777459,0.08697283371634752,0.08207988822567763,0.08097135848797697,0.08049644647666798,0.08792610131336276,0.09045446646351354,0.08978193147713279,0.08924982390188049,0.09099369347259252,0.09108254357276349,0.09153039268009669,0.09185289459359443,0.09106129113215412,0.09235843423872121,0.09303908197407725,0.0927334108254645,0.09289467992705233,0.09333789162727604,0.09404685609221741,0.0940740602957851,0.09392965947666235,0.09417141130388554,0.09398390978870537,0.09432845002184018,0.09437606032393953,0.0934879628306049,0.0932382856949758,0.09420812451826549,0.09378846772532577,0.0929428677186097,0.09324230045993759,0.09322841237929852,0.09285676865449854,0.09760265904047624,0.09933605767519897,0.09968863508921799,0.09976801865470514,0.09928766043662265,0.09820421122554082,0.09745290890555286,0.0963452140741552,0.09644383947368251,0.09697614081249058,0.09702314795668551,0.09706278109006225,0.09789520668662297,0.09798685876778654,0.09755055033658504,0.0975399324982579,0.09641825533195332,0.09559816258032103,0.09646376769596814,0.09684199556496079,0.09626614940609121,0.09624843711607808,0.09640945882817273,0.09670874872651676,0.0964416604333293,0.09665172393499247,0.09579749903853554,0.09507185630331352,0.09434614777659003,0.09454492093340217,0.09431995258474346,0.09406630415684747,0.09410426669430833,0.1018703851485811,0.10153348551675548,0.10146092559694754,0.10178791851006538,0.10160083752889351,0.10169974600691617,0.10232584220971855,0.10319875259686884,0.1036457564273989,0.10355893317357137,0.10320102812060802,0.10374752288877195,0.10440216496934202,0.10479932332458305,0.10421222750988357,0.10400445486056356,0.10356811098144053,0.10380972299341376,0.10375259641462017,0.10375994954427684,0.10457280176372541,0.1045505049862569,0.10488040488935232,0.10518528107460721,0.104926541681025,0.11030007282082356,0.11030007282082356,0.11069823318878819,0.1107641048963438,0.11103718620644148,0.11010273944887504,0.10956803801117966,0.10904496492254473
auc_roc_bag,0.2916666666666667,0.3333333333333333,0.29166666666666663,0.33333333333333337,0.33333333333333337,0.2916666666666667,0.45833333333333337,0.5,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.4166666666666667,0.4166666666666667,0.45833333333333337,0.45833333333333337,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.37500000000000006,0.37500000000000006,0.37500000000000006,0.37500000000000006,0.33333333333333337,0.4166666666666667,0.37500000000000006,0.4166666666666667,0.4166666666666667,0.45833333333333337,0.45833333333333337,0.4166666666666667,0.4166666666666667,0.37500000000000006,0.37500000000000006,0.5833333333333333,0.5416666666666666,0.375,0.41666666666666663,0.375,0.375,0.41666666666666663,0.33333333333333337,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.45833333333333337,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
auc_pr_bag,0.2825892857142857,0.29717261904761905,0.28675595238095236,0.3104166666666667,0.3104166666666667,0.2825892857142857,0.3825892857142857,0.5700892857142856,0.3825892857142857,0.3825892857142857,0.3825892857142857,0.3825892857142857,0.3825892857142857,0.3729166666666667,0.3729166666666667,0.5604166666666667,0.5604166666666667,0.3729166666666667,0.51875,0.3729166666666667,0.33125,0.33125,0.33125,0.33125,0.3104166666666667,0.3729166666666667,0.33125,0.51875,0.51875,0.5604166666666667,0.5604166666666667,0.51875,0.51875,0.33125,0.33125,0.6850198412698413,0.6742559523809524,0.490922619047619,0.5016865079365079,0.490922619047619,0.490922619047619,0.5055059523809524,0.303422619047619,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.31800595238095236,0.3825892857142857,0.340922619047619,0.340922619047619,0.340922619047619,0.340922619047619,0.340922619047619,0.340922619047619,0.340922619047619
Date,2024-05-29
Time,102.74463438987732
seed,0
Number of anomalous bags,4
Number of anomalies,32
Rewards bag 0,1.8407137207185226e-06,8.283015675190526e-07,3.2712116287492146e-06,2.056875424085899e-06,1.0094651241536104e-06,8.635797812057862e-06,1.5622113893110732e-06,1.1153697159087584e-06,6.915061130569443e-07,1.7365353967191162e-06,1.4591592697969325e-06,3.722640998617549e-07,1.567801604080216e-06,3.235403477761234e-07,4.7022330992628963e-07,6.369457798345424e-07,6.838498739652974e-07,1.1900415418928778e-06,1.0126268462389019e-06,6.160935526387496e-07,3.9778622529791883e-07,2.4542826541079044e-07,7.265514795673983e-07,4.3969749989707563e-07,4.99154740769665e-07,4.7046864751756473e-07,6.837902006675874e-07,2.1954352832066045e-07,2.751973780417783e-07,6.103453036742476e-07,5.311945383320304e-07,1.7075324020408448e-07,3.847678916858898e-07,4.56211780418569e-07,5.080252837068534e-06,4.280470816131097e-06,3.275680255518814e-07,3.080915804847383e-07,3.9204033316904014e-07,1.1945002006842034e-06,4.728835136880618e-07,2.287639602339532e-06,4.221382874889614e-07,5.297761813381263e-07,8.409979783155242e-07,9.897887433723352e-08,4.3063077651394645e-07,4.827628501370356e-07,5.200480891810867e-07,4.4998794599383326e-07,4.1252768959181746e-07,4.712321326056052e-07,8.269039143662586e-07,3.352417147382073e-07,5.791254556366687e-07,9.293992272822812e-07,3.5325535581306043e-07,2.512857608654427e-07,3.1475486502945277e-07,2.6242097796140086e-07,4.3036201376875857e-07,3.301146468742052e-07,1.3974634127249646e-07,2.594625903010731e-07,2.065996743171775e-07,1.9084877149845695e-07,1.3353377349091296e-06,1.8060420739302622e-06,3.4976746051010996e-07,3.7418587277480687e-07,1.1313352761892743e-07,3.2832277948867426e-07,1.6617689066018634e-07,3.338411506776066e-07,1.419349262976837e-06,4.749368200358017e-07,1.6123411295483283e-07,3.16857429720547e-07,1.6433313318155574e-07,2.89695014736004e-07,2.2800687976281293e-07,2.4392866539195445e-07,1.6483262322894158e-07,2.663675607772136e-07,2.3311013171772559e-07,3.4844395027647933e-07,1.932613914880088e-07,2.9853882706035915e-07,8.032806304665155e-08,1.6928076261435178e-07,5.865981362399878e-07,2.20851142002579e-07,2.0572812909961115e-06,1.219094887919784e-07,2.918266276725506e-07,2.3239013296897063e-07,8.033632475454103e-07,1.7335328030803927e-07,1.8212849621646337e-07,1.352703911323504e-07
Prob contr bag 0,0.018407137207187254,0.008283015675191439,0.03271211628749575,0.020568754240861253,0.010094651241537217,0.08635797812058812,0.015622113893112452,0.011153697159088814,0.006915061130570205,0.017365353967193076,0.014591592697970932,0.003722640998617959,0.015678016040803888,0.0032354034777615907,0.0047022330992634144,0.0063694577983461256,0.006838498739653727,0.01190041541893009,0.010126268462390134,0.0061609355263881746,0.003977862252979626,0.0024542826541081746,0.007265514795674783,0.0043969749989712405,0.0049915474076972,0.004704686475176165,0.006837902006676627,0.0021954352832068464,0.002751973780418086,0.006103453036743148,0.005311945383320889,0.001707532402041033,0.0038476789168593217,0.0045621178041861925,0.05080252837069093,0.04280470816131569,0.003275680255519175,0.0030809158048477224,0.003920403331690833,0.01194500200684335,0.004728835136881139,0.02287639602339784,0.004221382874890079,0.005297761813381847,0.008409979783156168,0.0009897887433724442,0.004306307765139939,0.004827628501370888,0.005200480891811439,0.004499879459938828,0.004125276895918629,0.004712321326056571,0.008269039143663497,0.0033524171473824425,0.0057912545563673255,0.009293992272823836,0.003532553558130993,0.0025128576086547037,0.0031475486502948744,0.0026242097796142973,0.00430362013768806,0.0033011464687424156,0.0013974634127251185,0.002594625903011017,0.0020659967431720023,0.0019084877149847797,0.013353377349092766,0.01806042073930461,0.0034976746051014846,0.0037418587277484807,0.0011313352761893988,0.003283227794887104,0.0016617689066020464,0.003338411506776433,0.014193492629769934,0.00474936820035854,0.0016123411295485058,0.003168574297205819,0.0016433313318157383,0.002896950147360359,0.0022800687976283806,0.0024392866539198134,0.0016483262322895974,0.0026636756077724295,0.0023311013171775125,0.0034844395027651773,0.001932613914880301,0.00298538827060392,0.000803280630466604,0.0016928076261437043,0.005865981362400524,0.0022085114200260333,0.020572812909963382,0.0012190948879199184,0.0029182662767258272,0.002323901329689962,0.008033632475454989,0.0017335328030805837,0.0018212849621648344,0.0013527039113236528
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
