auc_roc,0.4941190447903053,0.5179200823729754,0.5933230367114174,0.6278959249138648,0.7002890974614866,0.7197338719258644,0.7238129183002653,0.7668211159954061,0.8016712209417448,0.808760049106966,0.8137895528889945,0.8398083244227951,0.8503821630826501,0.856441329056275,0.8575105936398558,0.8590946893192348,0.8611540137024277,0.8640053859253098,0.8760049106966061,0.8842818106213616,0.8937071799136668,0.8961229258247199,0.9000039602391984,0.9013504415666707,0.8979446358560057,0.9009940200388102,0.9078848362441092,0.9093105223555503,0.9111322323868362,0.9117658706585877,0.9144984357055166,0.9135875806898736,0.9074492099322798,0.9080432458120471,0.9085184745158608,0.9784959011524297,0.9765949863371747,0.972951566274603,0.9700605916597362,0.9712486634192705,0.9702586036196585,0.9729911686665875,0.9760009504574076,0.9706546275395034,0.972872361490634,0.9675260385727298,0.9687537127242485,0.9698229773078293,0.9712882658112549,0.9889113302443467,0.9934656053225615,0.9929903766187478,0.9954853273137697,0.9966337966813196,0.9973070373450557,0.9979802780087917,0.9982970971446675,0.9988119282404656,0.9993267593362639,0.9996039760801552,0.9990891449843571,0.999168349768326,0.9995247712961862,0.9996039760801552,0.9995643736881707,0.9995247712961863,0.9995643736881707,0.9995247712961863,0.9998019880400776,0.9996435784721397,0.9996435784721397,0.9998811928240465,0.9999603976080156,0.9999603976080156,0.999920795216031,0.9999603976080156,0.9999603976080156,0.9999603976080156,0.9998811928240466,0.9998811928240466,0.999920795216031,0.999920795216031,0.999920795216031,0.999920795216031,0.999920795216031,0.999920795216031,0.999920795216031,0.9998811928240465,0.9998019880400777,0.9998019880400777,0.999762385648093,0.999762385648093,0.999762385648093,0.999762385648093,0.9998415904320621,1.0,0.9999603976080156,1.0,1.0,1.0,1.0
auc_pr,0.1175779403171672,0.12835736129416284,0.19004918055185366,0.20483245844024495,0.2730633545667658,0.3146130306609808,0.3167416711735238,0.3797346642444595,0.45829011980313117,0.4948323366781443,0.5030084230564518,0.6163656962820263,0.6532620872899885,0.6595966099618076,0.6638767325454473,0.6673097187266795,0.6711552929149902,0.6736654287309921,0.7131820307372898,0.7553617498001616,0.7907463132298397,0.7992158344144448,0.8056241948631976,0.8083967182794458,0.7920797851116873,0.8000064863862526,0.8185813533515313,0.8208275668665076,0.8273234438931173,0.8221207908919834,0.8295136603259123,0.8361376533821618,0.8227496741096271,0.8268957625988419,0.8225524801380547,0.8876418401740835,0.8842721628490191,0.8800236680831451,0.8781895662266777,0.879214853254513,0.879162249814478,0.8816534280359973,0.8887686968322226,0.87840275812294,0.8869056430457488,0.896296972860185,0.8952206237984123,0.8955203672237211,0.8962951781095112,0.9396796858625382,0.956846384659154,0.9557092819147823,0.9661536547812735,0.9734276749578397,0.9799329403052424,0.9844236182703725,0.9873900238319999,0.990965737846905,0.9948095118202382,0.9969617701326854,0.9934061284156532,0.9939753634938746,0.9964040840784469,0.9969617103047108,0.9967038163189088,0.9964541057756151,0.9967038761468838,0.9964541057756151,0.9985735756631133,0.9975892528524108,0.9975892528524108,0.9991153731787095,0.999694866324917,0.999694866324917,0.9993843312152129,0.999694866324917,0.999694866324917,0.999694866324917,0.9990681999780291,0.9990681999780291,0.9993843312152129,0.9993843312152129,0.9993843312152129,0.9993843312152129,0.9993843312152129,0.9993843312152129,0.9993843312152129,0.999089630998143,0.9985294610555726,0.9985294610555724,0.9982630405534092,0.9982630405534094,0.9982630405534092,0.9982630405534092,0.9988399961652765,1.0,0.999694866324917,1.0,1.0,1.0,1.0
auc_roc_bag,0.2857142857142857,0.42857142857142855,0.7619047619047619,0.7142857142857143,0.9047619047619048,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
auc_pr_bag,0.20925925925925926,0.25092592592592594,0.6222222222222222,0.5992063492063492,0.8500000000000001,0.9027777777777777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date,2024-06-01
Time,82.4743070602417
seed,3
Number of anomalous bags,3
Number of anomalies,57
Rewards bag 0,1.8738347040100488e-06,2.229621664344779e-06,3.3456017766832188e-06,1.5288398464120364e-06,2.304323143394948e-06,1.0244763492181497e-06,2.1418431415256882e-06,2.1284247959405294e-06,1.5777371344884383e-06,1.4572753297895368e-06,3.264598844996886e-06,1.7035512596486572e-06,1.6744305289725912e-06,1.6956339214538248e-06,5.944428469778311e-07,1.285940220405305e-06,7.750734337750269e-07,4.504642955405898e-06,2.27541671306427e-06,2.9271853236269123e-06,1.7694953437742922e-06,2.8592141052682264e-06,6.651731415787276e-07,1.1600532041649457e-06,8.771439685891063e-07,2.2070322861953324e-06,7.250251172618737e-07,1.7440586453510149e-06,1.1730616884021172e-06,1.0933859584892635e-06,1.2164175985573485e-06,8.525732086771502e-07,1.0328533645818059e-06,7.134375824815616e-07,5.523866957973092e-06,2.5528590482127974e-06,2.0935594548687117e-06,1.0070951508542364e-06,6.526343010479716e-07,1.2457606440338694e-06,9.079192169381201e-07,1.3099543105151034e-06,9.998402392409776e-07,1.0801026193018882e-06,7.741091798285213e-06,2.9601550821496376e-06,8.444930128846676e-07,2.1619332364198123e-06,7.198193476943604e-06,1.342720695656581e-06,8.166969485269379e-07,2.7084870364000816e-06,8.562128918562086e-07,1.102228660376574e-06,1.6850229513106045e-06,1.7812678992602074e-06,3.857683294260524e-06,3.409432999217487e-06,2.894279446323476e-06,4.191020174554622e-06,3.29474416397011e-07,8.536089176217927e-07,7.471730719447467e-07,3.446647160261525e-07,1.922003802379059e-07,3.964894338654879e-07,4.107950465567138e-07,1.922759508236883e-06,1.881890449089987e-06,5.554835687506494e-07,6.919984691914252e-07,1.328603322904516e-06,2.080317126797302e-06,8.957815029577242e-07,6.422432794724706e-07,6.991105258150583e-07,2.9813440706122654e-07,7.566322561425219e-07,1.5074182680857137e-07,2.299254661908958e-07,2.3770821712944897e-07,2.343044713559642e-07,2.5326907393941117e-07,3.9429243065641257e-07,1.4356583343120137e-07,9.500207484279321e-08,1.8290402859405526e-07,2.1452969867944887e-07,1.774529531445101e-07,1.0939348542374237e-07,1.6742191757868917e-07,7.846378343337408e-08,4.544334773455464e-08,1.4481642879451887e-06,4.726997147905966e-07,6.333629650610301e-08,2.314014020960533e-07,5.133073418143129e-08,1.0102205796198818e-07,1.8038939148806084e-07
Prob contr bag 0,0.018738347040102552,0.022296216643450245,0.03345601776683587,0.015288398464122048,0.023043231433952018,0.010244763492182625,0.021418431415259242,0.021284247959407636,0.01577737134488612,0.014572753297896974,0.032645988449972456,0.017035512596488448,0.016744305289727757,0.016956339214540116,0.005944428469778966,0.012859402204054467,0.007750734337751123,0.045046429554063946,0.02275416713064521,0.029271853236272346,0.01769495343774487,0.028592141052685413,0.006651731415788008,0.011600532041650733,0.00877143968589203,0.022070322861955753,0.007250251172619535,0.01744058645351207,0.011730616884022464,0.010933859584893839,0.012164175985574826,0.008525732086772441,0.010328533645819196,0.007134375824816402,0.055238669579737006,0.025528590482130787,0.020935594548689422,0.010070951508543473,0.0065263430104804355,0.012457606440340066,0.0090791921693822,0.013099543105152477,0.009998402392410878,0.01080102619302007,0.07741091798286066,0.029601550821499636,0.008444930128847606,0.021619332364200505,0.07198193476944396,0.01342720695656729,0.008166969485270278,0.0270848703640038,0.008562128918563028,0.011022286603766952,0.0168502295131079,0.017812678992604036,0.03857683294260948,0.034094329992178624,0.02894279446323795,0.04191020174555084,0.0032947441639704727,0.008536089176218868,0.00747173071944829,0.0034466471602619046,0.0019220038023792707,0.003964894338655316,0.0041079504655675905,0.019227595082370947,0.01881890449090194,0.005554835687507106,0.006919984691915014,0.013286033229046623,0.020803171267975307,0.008957815029578228,0.006422432794725414,0.006991105258151353,0.002981344070612594,0.007566322561426052,0.0015074182680858798,0.002299254661909211,0.0023770821712947514,0.0023430447135599003,0.0025326907393943905,0.00394292430656456,0.001435658334312172,0.0009500207484280368,0.001829040285940754,0.002145296986794725,0.0017745295314452964,0.0010939348542375442,0.001674219175787076,0.0007846378343338272,0.00045443347734559644,0.014481642879453482,0.004726997147906487,0.0006333629650610999,0.002314014020960788,0.0005133073418143694,0.001010220579619993,0.001803893914880807
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
