auc_roc,0.44764191513761464,0.48982224770642196,0.5961869266055045,0.5975845756880733,0.6184059633027523,0.6006307339449541,0.6305547591743119,0.6413059059633027,0.6498351490825688,0.6701906536697249,0.676963876146789,0.678504873853211,0.6923380160550459,0.7149870986238532,0.7048093463302753,0.7035550458715596,0.7086080848623854,0.7204701834862385,0.7243047591743119,0.735199254587156,0.7386754587155964,0.8359016628440367,0.8393061926605505,0.8405963302752293,0.8436783256880733,0.8426748853211009,0.8494839449541285,0.8425315366972477,0.8372276376146788,0.8442517201834863,0.8482296444954129,0.8516700114678899,0.8456135321100917,0.837478497706422,0.8351490825688073,0.8383385894495413,0.8365108944954128,0.836761754587156,0.8320670871559633,0.8355432912844036,0.8395570527522936,0.8469036697247706,0.8484446674311926,0.8528168004587156,0.8587299311926606,0.9058557912844036,0.9078626720183487,0.9089377866972477,0.9107296444954128,0.9439506880733944,0.9438073394495414,0.9454916857798166,0.9466384747706422,0.9464592889908257,0.9560994839449541,0.9586439220183487,0.9574254587155964,0.9572462729357799,0.9597190366972478,0.960579128440367,0.9608299885321101,0.9616542431192661,0.9614392201834862,0.9606866399082569,0.9618692660550459,0.9612241972477064,0.9593248279816514,0.9602207568807339,0.9611166857798166,0.9567087155963303,0.9593606651376148,0.9592889908256881,0.9598623853211009,0.9618334288990825,0.9692517201834862,0.9690008600917432,0.9692875573394495,0.9693592316513762,0.9703626720183487,0.970290997706422,0.9680332568807339,0.9695384174311927,0.9691083715596331,0.9698967889908257,0.9696817660550459,0.9693950688073394,0.9689650229357798,0.9698609518348623,0.969000860091743,0.9690725344036697,0.9697534403669725,0.9686424885321101,0.9681407683486238,0.9657755160550459,0.96495126146789,0.9655604931192661,0.9654171444954128,0.9643061926605505,0.9657038417431193,0.9653454701834863,0.9654171444954129
auc_pr,0.1162272930533365,0.1282729527355212,0.1856110593202157,0.18685162562698468,0.1962591572344398,0.18564650984684797,0.2038807342732425,0.20918380895135935,0.22235391073786004,0.2525173811783396,0.2562589013456146,0.25612685510933714,0.2732673591810542,0.3417093041214325,0.3295521007269466,0.3198798662032649,0.3278432794192632,0.34228713005363787,0.35680446956531175,0.36991784352630586,0.3678065896401492,0.4562664894132227,0.45966942245348696,0.4681826772144385,0.4781183610659511,0.4768577435979493,0.48084975324711193,0.4567196300766628,0.4493191602315546,0.4638029760745235,0.48160047970037306,0.49234697973729624,0.4785173842921589,0.45742144399959017,0.4478378124397961,0.4522489894792952,0.4528996104074962,0.45035755548284423,0.4419560844891949,0.44935801911990675,0.4585355671706926,0.4750286475698735,0.4763857594357947,0.48810989944140626,0.5047003111071827,0.6054210680239515,0.6050681505440166,0.6086366115186144,0.611230442504711,0.7042998236084094,0.704796819642326,0.7132604170751524,0.7177620991350954,0.7134133495228993,0.7572334037708045,0.7697595379880815,0.7630375615454681,0.7607674126874492,0.7753077084595942,0.7796942680079231,0.7769856210001317,0.7907551579592181,0.7887119841991039,0.7923977808517254,0.7954252376889507,0.7911988850979638,0.7785834114102593,0.7858832065797577,0.7895014443097568,0.7698327672502813,0.7831298825879339,0.7833875425540109,0.7835892785478608,0.7993700475286681,0.8130084736850921,0.8127908168096549,0.8139679224371233,0.8119446044570859,0.8175618362462039,0.817732297965909,0.8000450046346433,0.809401878883986,0.8118796003948444,0.8167401230610195,0.8148291256150451,0.8151077125202443,0.8147354809086496,0.818082543114289,0.8124559177517523,0.8133994846051633,0.8274738064783038,0.8232538700971315,0.820148337167077,0.8136150654257444,0.8126376789428775,0.8124613264219134,0.8119314042276723,0.8078521732883874,0.8169884111506738,0.8168625497021161,0.8184092781633838
auc_roc_bag,0.41666666666666663,0.3333333333333333,0.2916666666666667,0.4583333333333333,0.375,0.41666666666666663,0.5416666666666666,0.5833333333333334,0.5416666666666667,0.5,0.4583333333333333,0.5416666666666667,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.875,0.875,0.8333333333333334,0.875,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.875,0.875,0.875,0.875,0.875,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9166666666666666,0.875,0.8333333333333334,0.875,0.875,0.875,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
auc_pr_bag,0.6175925925925926,0.5894179894179894,0.46441798941798945,0.5156746031746031,0.49044312169312165,0.5017857142857143,0.5698412698412698,0.5852182539682539,0.558829365079365,0.5434523809523809,0.5321097883597883,0.558829365079365,0.6298611111111111,0.9104166666666667,0.9104166666666667,0.9104166666666667,0.9104166666666667,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9104166666666667,0.9409722222222221,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9436507936507936,0.9436507936507936,0.9248015873015872,0.9104166666666667,0.9248015873015872,0.9248015873015872,0.9409722222222221,0.9409722222222221,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9409722222222221,0.9409722222222221,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9409722222222221
Date,2024-06-04
Time,72.87992310523987
seed,38
Number of anomalous bags,6
Number of anomalies,64
Rewards bXagX 0,3.0032893582133255e-06,2.234402425642573e-06,3.0856568840016113e-06,1.7949686268640093e-06,1.1335708824973202e-06,2.726744183596896e-06,1.259900976973011e-06,8.133692128190425e-07,3.604605713243508e-06,1.057393932654831e-06,4.402209720785611e-07,2.6381504144969914e-06,3.889706565650205e-06,8.403960829599685e-07,1.38025719303415e-06,1.1902197320746506e-06,1.2251752378330279e-06,7.174396156082454e-07,1.1487331309401073e-06,1.0511268683590637e-06,2.913119754994953e-06,7.488432479923454e-07,9.427468585319605e-07,3.264037748329431e-07,6.360779433577621e-07,5.499179836492644e-07,8.612279632135962e-07,6.356589998864149e-07,8.678060284463661e-07,1.6203119724509987e-06,9.700251581082468e-07,6.211075510676264e-07,5.199513181480511e-07,4.194345941607637e-07,4.5740852924576844e-07,2.983356728195634e-07,3.0245351840851003e-07,3.322525653096998e-07,3.369731879673497e-07,1.1017914626558243e-06,1.8059672026880059e-06,3.3558232644947445e-07,5.87385708298977e-07,1.1445634693225764e-06,4.192404638122591e-06,4.0953735966830646e-07,4.5559858472817435e-07,3.608599112534634e-07,3.8876881729121655e-06,2.594740577683118e-07,4.971760207657223e-07,2.648210130605764e-07,5.773263735889192e-07,9.751918708074157e-07,6.45311573250017e-07,9.928681173113049e-07,3.041741425867965e-07,1.2090684694442246e-06,2.5119163433909737e-07,3.5239537642940437e-07,1.8370031961604135e-06,2.872780197912087e-07,2.8251543075378204e-07,2.2630334332082396e-07,3.2625696528745256e-07,4.676729198364466e-07,3.171438964068613e-07,6.675064310951297e-07,4.1752271359219836e-07,4.4443786419166234e-07,1.1959331344076686e-07,3.061191352468808e-07,6.973101897481704e-07,1.6298043213748595e-06,2.953876052804605e-07,1.301150735805589e-07,1.6451847629318124e-07,1.8290877313241524e-07,1.771663835983803e-07,3.986821832946136e-07,2.449822237924146e-07,3.52183946171216e-07,3.139440411095232e-07,2.652772741266121e-07,1.8514642720446578e-07,1.4264332695637458e-07,1.5320395639776702e-07,8.557610030726505e-07,1.7191744830359416e-07,1.3694382844081228e-06,5.59264355298831e-07,3.7339032889719647e-07,3.3177479609352916e-07,3.6999376998960713e-07,1.997003999506435e-07,1.2146008356198607e-07,2.0712703582947204e-07,2.0073356658641038e-07,1.297282591456683e-07,1.2139474212633793e-07
Prob contr bag 0,0.030032893582136563,0.02234402425642819,0.030856568840019513,0.01794968626864207,0.01133570882497445,0.027267441835971965,0.012599009769731499,0.00813369212819132,0.03604605713243905,0.010573939326549474,0.0044022097207860955,0.02638150414497282,0.03889706565650633,0.00840396082960061,0.013802571930343021,0.011902197320747817,0.012251752378331628,0.007174396156083244,0.011487331309402339,0.010511268683591795,0.029131197549952737,0.007488432479924278,0.009427468585320644,0.003264037748329791,0.006360779433578322,0.00549917983649325,0.008612279632136911,0.0063565899988648495,0.008678060284464616,0.016203119724511772,0.009700251581083535,0.006211075510676949,0.005199513181481084,0.004194345941608099,0.004574085292458188,0.0029833567281959627,0.003024535184085433,0.003322525653097364,0.003369731879673868,0.011017914626559456,0.018059672026882048,0.003355823264495114,0.005873857082990417,0.011445634693227024,0.041924046381230526,0.004095373596683515,0.0045559858472822455,0.0036085991125350313,0.038876881729125935,0.002594740577683404,0.00497176020765777,0.0026482101306060553,0.005773263735889827,0.00975191870807523,0.00645311573250088,0.009928681173114143,0.0030417414258683,0.012090684694443578,0.0025119163433912502,0.003523953764294432,0.018370031961606158,0.002872780197912403,0.0028251543075381315,0.002263033433208489,0.0032625696528748847,0.004676729198364981,0.0031714389640689626,0.006675064310952033,0.0041752271359224435,0.004444378641917113,0.0011959331344078004,0.0030611913524691454,0.006973101897482473,0.01629804321375039,0.0029538760528049304,0.0013011507358057321,0.0016451847629319935,0.0018290877313243538,0.001771663835983998,0.003986821832946575,0.002449822237924416,0.003521839461712548,0.003139440411095578,0.0026527727412664136,0.0018514642720448616,0.0014264332695639028,0.0015320395639778388,0.008557610030727447,0.001719174483036131,0.013694382844082737,0.005592643552988925,0.0037339032889723758,0.003317747960935657,0.003699937699896479,0.001997003999506655,0.0012146008356199946,0.0020712703582949485,0.002007335665864325,0.0012972825914568259,0.001213947421263513
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11
Rewards bag 1,0,0,0,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,12,12,13,13,13,13
Rewards bag 2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,5,5,5,6,7,7,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11
Rewards bag 3,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9
Rewards bag 5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Rewards bag 6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rewards bag 7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9
Rewards bag 8,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,9,10,10,10,10,10,10,10,10
Rewards bag 9,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
