auc_roc,0.46284501061571126,0.49176367230397533,0.4765356175415477,0.4739732044805623,0.46086829196866536,0.4689215901603338,0.4691412255655612,0.47053224979866753,0.4598433267442712,0.46225931620177174,0.45200966395782993,0.4457134490079801,0.45157039314737535,0.4525953583717695,0.4441760011713888,0.45200966395783,0.45083827512995095,0.4566220074676038,0.4642360348488176,0.4539863826048759,0.449520462698587,0.44952046269858703,0.4426385533347975,0.44915440368987486,0.4497400981038144,0.45010615711252655,0.4545720770188154,0.454498865217073,0.458159455304195,0.45947726773555897,0.45984332674427114,0.458818361519877,0.45984332674427114,0.46372355223662054,0.4623325280035142,0.4654806354784391,0.46408961124533277,0.46357712863313566,0.4652610000732118,0.4695804963760158,0.46884837835859144,0.46811626034116705,0.5075774214803427,0.5086023867047368,0.5037704077897357,0.505161432022842,0.5068453034629182,0.5081631158942822,0.5077238450838275,0.5072845742733729,0.5023793835566293,0.5044293140054177,0.5027454425653415,0.5022329599531444,0.5027454425653415,0.5026722307635991,0.5019401127461747,0.5028186543670838,0.5039900431949631,0.5054542792298119,0.5097737755326159,0.5055274910315543,0.5069185152646607,0.5075042096786002,0.5074309978768576,0.5099934109378432,0.506479244454206,0.507138150669888,0.5075042096786002,0.5056739146350391,0.504648949410645,0.5043561022036752,0.5043561022036752,0.50450252580716,0.503331136979281,0.50450252580716,0.5052346438245845,0.5072113624716305,0.5069185152646606,0.5460136173951241,0.5464528882055787,0.5471117944212607,0.5493081484735339,0.6412621714620397,0.6440442199282524,0.6471923274031774,0.6460209385752984,0.6411157478585549,0.6424335602899187,0.640822900651585,0.6413353832637821,0.6431656783073432,0.6443370671352222,0.6400175708324182,0.6417014422724944,0.6436781609195403,0.6447031261439344,0.6460209385752984,0.6455084559631012,0.6438245845230252,0.6448495497474193
auc_pr,0.06867186203145076,0.07197115178921722,0.07176438693156033,0.07271064228716924,0.07077289345547678,0.07153006939057167,0.07116626567671103,0.07166738735538486,0.06846964716383948,0.06742443696913542,0.06666385379113818,0.0655456621303272,0.06617004216939867,0.06750414021741821,0.06651610465751737,0.06733696635687637,0.06666341576637912,0.06762232613106184,0.06853732072845041,0.0676595531871077,0.06630454549577207,0.09315363163232829,0.0924693127940754,0.09341281474863025,0.09361802217833266,0.09349752769571676,0.09393655081133334,0.09402652539161058,0.09470293725538924,0.09502590709986226,0.0965373771209126,0.09668602165647266,0.09457850229390644,0.09498074528223951,0.09422502229690369,0.09458261284337224,0.09465259270933228,0.09416324137867682,0.09486359136488416,0.09572911483229099,0.09574834597965082,0.09606674526952672,0.10512364388534687,0.10535971965080543,0.10518672997511787,0.10528823155570079,0.10557735376119828,0.10580605980990751,0.10580558631199483,0.10553770137707794,0.10531081080421613,0.10598106625920696,0.10592227495253073,0.10561921863410588,0.10597946177071302,0.10576097983249665,0.10581266380701436,0.10614372306519582,0.10648992339842259,0.10690162804857065,0.10781010050453863,0.10731313451528414,0.11316520828148699,0.1137752257879795,0.11397735863242733,0.13211245295601198,0.13176821993059482,0.1318072918024385,0.13161727856321292,0.13085933374614905,0.13081068850562122,0.13032800840673736,0.13021524664670234,0.12975141207202803,0.12880387625040768,0.12891761510806402,0.12968581571944995,0.1303124782642457,0.13031850581956242,0.13448126882467556,0.13361798859203491,0.13365391694409043,0.134772838167419,0.14517306071507904,0.14603585573224698,0.14644721272758712,0.14672623180554015,0.1458198010579516,0.14599593997745558,0.14492823321911028,0.14660991311429325,0.14687441716188254,0.14758218785853666,0.1466343372710636,0.1467891595456617,0.14694939620959202,0.14744909411024815,0.14711850670246532,0.14668230587633202,0.14629863992423225,0.14833683540642179
auc_roc_bag,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.75,0.75,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
auc_pr_bag,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.29166666666666663,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.29166666666666663,0.29166666666666663,0.3333333333333333,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date,2024-06-25
Time,66.56334209442139
seed,3
Number of anomalous bags,2
Number of anomalies,29
Rewards bXagX 0,2.583430196371004e-06,2.723987278249273e-06,1.291376124845554e-06,1.6678152918655472e-06,3.446405733038676e-07,6.764665189580898e-07,6.311233697853479e-07,9.649323123587252e-07,1.3076432868274507e-06,5.390715866194964e-07,6.538182241311483e-07,4.618295443795059e-07,4.6795823934099326e-07,4.0341939409475463e-07,2.873863647055708e-07,8.857121205399938e-07,8.705936586978514e-07,3.3105908323428016e-07,3.1573924392096834e-07,3.4234942402630283e-07,2.3138510294268817e-07,1.9450333654293955e-07,7.249857001632198e-07,8.822960580492969e-08,2.5820013610025507e-07,3.0377692678238734e-07,5.998447250163648e-08,1.187741255874724e-06,6.622725848421176e-07,4.136912385272707e-07,3.19823160825407e-07,8.539235715664856e-07,1.8145961736203999e-07,1.371974851514562e-07,1.5139628866753843e-07,2.2438720286080443e-07,1.51411710862003e-07,1.2607964870336356e-06,4.3006892108811995e-07,2.48676597460784e-07,1.9261310629537221e-07,1.8286428684044297e-06,1.5076236063915652e-07,9.547893817266583e-08,6.902720908688352e-08,1.473373786402951e-07,4.12307849752398e-07,1.6985031548376982e-07,7.853262083970729e-07,1.3831231389325267e-07,2.2538042262392203e-07,1.5055286765549096e-07,2.5215854587950196e-07,3.058647265224352e-07,2.2951338789451632e-07,1.3473374233403778e-07,1.4259340075962797e-07,1.2177187439301414e-07,8.234316991532743e-07,1.6815952605883352e-07,1.0284329842159808e-07,2.0426082556922975e-06,2.088232440812231e-07,1.9365314206486457e-07,3.770201986461333e-07,8.802958137367988e-08,4.3351807469442364e-07,1.1059787194484264e-07,4.4025980500479413e-07,1.1434619108782064e-07,6.25771441669799e-07,6.198121002873584e-08,1.2465489998679648e-07,3.379034740881381e-07,1.0867001340655689e-07,1.1237345526235443e-06,1.835836908806271e-07,5.231672181133554e-08,1.9130237914103974e-06,5.481734256517265e-07,1.0130174894436691e-07,2.1478144097714407e-07,2.3964722466992225e-06,3.9772603907758645e-07,1.4168440042628009e-07,1.532066609036365e-07,1.892997387147005e-07,7.43606503920203e-08,3.0731397112084537e-07,1.2287307670759764e-07,8.608445498241245e-07,7.147297231862471e-07,2.3250388418099594e-07,1.134264127423986e-07,1.755645593433345e-07,4.471556648069938e-07,2.925282060769545e-07,2.12544836706284e-07,1.2981870032619094e-07,1.8625031795314934e-06
Prob contr bag 0,0.025834301963712888,0.02723987278249573,0.012913761248456963,0.016678152918657308,0.0034464057330390557,0.0067646651895816425,0.006311233697854174,0.009649323123588315,0.013076432868275947,0.005390715866195558,0.006538182241312203,0.004618295443795568,0.004679582393410448,0.004034193940947991,0.0028738636470560246,0.008857121205400914,0.008705936586979473,0.003310590832343166,0.003157392439210031,0.0034234942402634055,0.0023138510294271365,0.0019450333654296096,0.007249857001632997,0.0008822960580493941,0.002582001361002835,0.0030377692678242077,0.0005998447250164309,0.011877412558748548,0.006622725848421905,0.004136912385273163,0.0031982316082544227,0.008539235715665797,0.0018145961736205998,0.001371974851514713,0.0015139628866755511,0.0022438720286082916,0.0015141171086201968,0.012607964870337746,0.004300689210881673,0.0024867659746081136,0.0019261310629539344,0.01828642868404631,0.0015076236063917314,0.0009547893817267634,0.0006902720908689113,0.0014733737864031132,0.004123078497524434,0.0016985031548378852,0.007853262083971593,0.0013831231389326792,0.0022538042262394684,0.0015055286765550753,0.0025215854587952976,0.003058647265224689,0.002295133878945416,0.0013473374233405261,0.0014259340075964367,0.0012177187439302755,0.00823431699153365,0.0016815952605885205,0.001028432984216094,0.020426082556925226,0.002088232440812461,0.001936531420648859,0.003770201986461748,0.0008802958137368957,0.004335180746944714,0.0011059787194485481,0.004402598050048426,0.0011434619108783323,0.006257714416698679,0.0006198121002874267,0.0012465489998681023,0.003379034740881753,0.0010867001340656886,0.01123734552623668,0.0018358369088064732,0.000523167218113413,0.01913023791410608,0.005481734256517868,0.0010130174894437806,0.002147814409771677,0.023964722466994864,0.003977260390776303,0.001416844004262957,0.0015320666090365336,0.0018929973871472134,0.0007436065039202848,0.003073139711208792,0.0012287307670761118,0.008608445498242193,0.007147297231863259,0.0023250388418102155,0.0011342641274241108,0.0017556455934335383,0.0044715566480704304,0.0029252820607698674,0.002125448367063074,0.0012981870032620522,0.018625031795316986
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,8,8,9,9,9,9
Rewards bag 1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,8,8,8,8,9,9,9,9,9,9
Rewards bag 2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rewards bag 3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,9,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12
Rewards bag 5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 7,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12
Rewards bag 8,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12
Rewards bag 9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
