auc_roc,0.4806349206349206,0.44800976800976805,0.45738705738705737,0.3987301587301587,0.3996092796092796,0.4608547008547008,0.47443223443223437,0.48537240537240534,0.4873748473748474,0.5108180708180707,0.51995115995116,0.5137484737484738,0.501001221001221,0.4865934065934066,0.4846398046398046,0.494945054945055,0.4867399267399267,0.46500610500610506,0.4388766788766789,0.45006105006105,0.4583150183150183,0.45235653235653234,0.5786568986568986,0.6003418803418803,0.5916483516483516,0.564981684981685,0.5994627594627595,0.6104517704517706,0.6201221001221002,0.6098168498168498,0.6121123321123321,0.6189987789987789,0.6049328449328449,0.6055677655677655,0.5956532356532358,0.6018559218559218,0.6043467643467644,0.6027350427350427,0.6086446886446887,0.6081562881562881,0.61006105006105,0.6004884004884006,0.610989010989011,0.6171916971916972,0.6183638583638583,0.6209523809523809,0.6206593406593406,0.6218803418803419,0.6098656898656899,0.6135775335775335,0.6013186813186813,0.6041025641025642,0.6088400488400488,0.614945054945055,0.6168009768009768,0.6138217338217338,0.6186568986568985,0.6248107448107448,0.6121611721611722,0.597118437118437,0.5836874236874237,0.5844200244200244,0.5913064713064713,0.5908180708180709,0.5902808302808302,0.5953601953601955,0.5945787545787546,0.5949206349206348,0.5904761904761905,0.578949938949939,0.5803663003663003,0.5828571428571429,0.5809035409035409,0.585982905982906,0.5871550671550672,0.5921855921855922,0.5936996336996337,0.6003418803418803,0.6158730158730159,0.6201221001221001,0.6197313797313798,0.6213431013431013,0.6227594627594627,0.6240781440781441,0.6233943833943836,0.6174847374847375,0.6173382173382174,0.6131379731379731,0.6103052503052503,0.6132356532356532,0.6095238095238095,0.6091819291819291,0.61006105006105,0.6081562881562882,0.6026373626373627,0.6029304029304029,0.6081074481074482,0.610891330891331,0.6011721611721611,0.6028327228327228,0.6060561660561661
auc_pr,0.09259741348429798,0.09186136832470274,0.08862666791636914,0.08002233688329013,0.08160354433613849,0.10555862632121732,0.11081399539271528,0.11247160021212757,0.11003244494570379,0.11746432490283722,0.12034833577091436,0.11660558713094775,0.10681511462579549,0.10206245961795826,0.10214118642989811,0.10431380923146097,0.10284259668187595,0.09071867483577883,0.08491469071897714,0.08733776182864894,0.0880510062495698,0.08685680686673986,0.11129330542863619,0.11729908372157907,0.11407328918949737,0.1069752637746203,0.12634548782876448,0.13650887137580064,0.1378098508425334,0.12871253440740313,0.1308378915993702,0.13399917412382764,0.12465912295944817,0.12473468524951034,0.12229923841179545,0.12426453018705474,0.12503580215821292,0.12341045593078234,0.12576595674404828,0.12418626066164767,0.12605879067959125,0.12262096395987779,0.12538277809552578,0.12645287247408876,0.12709883848003894,0.1298349478324928,0.12833318300386698,0.1286590354248604,0.12455513248019386,0.12603674113981472,0.12290519141033358,0.12333266823236429,0.12584932162901288,0.1273051572606857,0.12702641584113855,0.12599605308871292,0.12712251324902743,0.131507177516812,0.12590843119989115,0.1197751486172521,0.116959130314262,0.11755359279943942,0.11988328952558382,0.12110529720152066,0.1208353096499566,0.12166718917091793,0.12115129296661103,0.12148717864203551,0.11605801749211457,0.11197685834817782,0.11246290793547159,0.11412293242462744,0.112859806586208,0.11534650414004931,0.11503334162848558,0.11754414914901164,0.11798994052613049,0.11906063574914032,0.12264127386819644,0.12308195815642983,0.12227739510729792,0.12235691487790956,0.12226776473233084,0.12275988075538756,0.12283671093008464,0.12095153553054147,0.12029827559851673,0.11904389643624742,0.11799434696247504,0.11892154299511001,0.1183162542707048,0.11851483368819558,0.11872908534139631,0.1176594084353871,0.11624782656060217,0.11629633248126596,0.11813100743570848,0.1186261517657893,0.11645199749987292,0.11809246188016809,0.1188159797937547
auc_roc_bag,0.625,0.625,0.625,0.6666666666666667,0.6666666666666667,0.625,0.625,0.625,0.625,0.8333333333333334,0.75,0.7083333333333334,0.625,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.625,0.625,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666666,0.6666666666666667,0.625,0.625,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.75,0.75,0.75,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8541666666666667,0.8541666666666667,0.8541666666666667,0.8541666666666667,0.8541666666666667,0.8541666666666667,0.8541666666666667,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7291666666666667,0.7291666666666667
auc_pr_bag,0.5827380952380953,0.4369047619047619,0.4369047619047619,0.4547619047619047,0.4547619047619047,0.42023809523809524,0.42023809523809524,0.4172619047619047,0.4172619047619047,0.5791666666666666,0.519345238095238,0.5014880952380952,0.4482638888888889,0.4196428571428571,0.4196428571428571,0.4196428571428571,0.41309523809523807,0.41309523809523807,0.39017857142857143,0.39017857142857143,0.39017857142857143,0.39017857142857143,0.46190476190476193,0.4547619047619047,0.4547619047619047,0.4380952380952381,0.46190476190476193,0.4482638888888889,0.4482638888888889,0.4878472222222222,0.5014880952380952,0.5014880952380952,0.5014880952380952,0.5014880952380952,0.5014880952380952,0.519345238095238,0.519345238095238,0.519345238095238,0.54375,0.54375,0.54375,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.54375,0.73125,0.73125,0.73125,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7041666666666666,0.7041666666666666,0.7041666666666666,0.7041666666666666,0.7041666666666666,0.7041666666666666,0.7041666666666666,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.5875,0.5875
Date,2024-06-01
Time,100.73395371437073
seed,5
Number of anomalous bags,4
Number of anomalies,45
Rewards bag 0,9.947577424012311e-06,8.540474555184052e-07,2.3671222817844105e-06,2.0803086390793987e-06,7.972342353300039e-06,1.863485218363348e-06,1.050554015038198e-06,1.836060996617436e-06,4.019012722273176e-06,7.738134748238667e-07,1.6160794787773244e-06,2.278919620984165e-06,2.6167453283386636e-06,4.882199675579479e-07,2.349158038968773e-06,5.516410416085268e-07,3.048185931779496e-06,1.3343560550033157e-06,1.7567366031422388e-06,1.0592685157954713e-06,8.29272696685111e-07,6.290155936697554e-06,2.0030723415497395e-06,9.194510132858819e-07,1.7265507993922593e-06,4.8047655732349895e-06,3.0767581930260443e-06,1.5895575679414895e-06,1.2603728161356306e-06,1.0735214589113538e-06,1.272329467539233e-06,1.24360502210318e-06,3.2360927554483643e-08,8.861217477287845e-07,4.923235691642081e-07,6.115097929249006e-07,5.735556181494228e-07,1.0316774577333887e-06,4.255325127695817e-07,1.3189239256694612e-06,9.972862285306992e-07,8.474869334117271e-07,6.726207014417714e-07,2.6006992291749937e-07,5.859106116021582e-07,8.492749872119637e-07,6.933897254977726e-07,8.414585368718701e-07,9.449748815399481e-07,6.48366685678541e-07,1.9643677869476656e-06,4.216802365349236e-07,1.1323393936976337e-06,9.508028848424701e-07,7.992916237539403e-07,6.934961303241212e-07,5.475620766773563e-07,7.593786202489139e-07,7.778000571475559e-07,4.184652135093827e-07,4.951829855446225e-07,4.258952868230345e-07,6.699028957153213e-07,2.4386749561411836e-07,3.116779729285837e-07,3.466397817755059e-07,3.213103425555547e-07,3.902616159529326e-06,5.603353112602888e-07,3.503029391587239e-07,6.849117062013687e-07,5.099378233557032e-07,3.7047399571809674e-07,4.964221845799115e-07,1.0677556349930917e-06,3.623808380737002e-07,3.291380177508646e-07,2.644081698512418e-06,2.0941606003400523e-07,2.5268509693512953e-07,2.7905703082026124e-07,3.189232128822789e-07,1.9425925559419326e-07,3.2170820513195507e-07,4.6225927559018506e-07,4.978636234591879e-07,3.6385092713285123e-07,7.270613851482375e-07,2.0477533756840076e-07,1.6714765269358665e-07,1.8081292432998628e-07,5.146397983402353e-07,2.652636033486037e-07,7.805439979090361e-07,3.849297364514509e-07,4.138377327908718e-06,1.0678541418698678e-07,3.443810202092959e-07,9.628134688263057e-07,7.910127057750226e-07
Prob contr bag 0,0.09947577424013407,0.008540474555184993,0.023671222817846713,0.02080308639079628,0.07972342353300917,0.01863485218363553,0.010505540150383135,0.018360609966176382,0.04019012722273618,0.007738134748239519,0.016160794787775025,0.02278919620984416,0.026167453283389517,0.004882199675580016,0.023491580389690316,0.005516410416085876,0.030481859317798315,0.013343560550034626,0.017567366031424322,0.010592685157955879,0.008292726966852022,0.06290155936698247,0.0200307234154996,0.009194510132859832,0.017265507993924494,0.048047655732355185,0.030767581930263833,0.015895575679416647,0.012603728161357694,0.01073521458911472,0.012723294675393732,0.01243605022103317,0.00032360927554487206,0.00886121747728882,0.004923235691642623,0.00611509792924968,0.005735556181494859,0.010316774577335024,0.004255325127696286,0.013189239256696066,0.00997286228530809,0.008474869334118205,0.006726207014418454,0.00260069922917528,0.005859106116022227,0.008492749872120573,0.006933897254978489,0.008414585368719628,0.009449748815400522,0.006483666856786125,0.01964367786947882,0.0042168023653497005,0.011323393936977585,0.009508028848425748,0.007992916237540284,0.006934961303241977,0.0054756207667741655,0.007593786202489975,0.007778000571476416,0.004184652135094288,0.00495182985544677,0.004258952868230814,0.006699028957153951,0.002438674956141452,0.00311677972928618,0.003466397817755441,0.003213103425555901,0.03902616159529755,0.005603353112603505,0.0035030293915876247,0.006849117062014442,0.005099378233557593,0.0037047399571813753,0.004964221845799662,0.010677556349932093,0.003623808380737401,0.0032913801775090084,0.026440816985127093,0.002094160600340283,0.0025268509693515736,0.00279057030820292,0.0031892321288231403,0.0019425925559421464,0.003217082051319905,0.00462259275590236,0.004978636234592427,0.003638509271328913,0.007270613851483176,0.002047753375684233,0.0016714765269360506,0.001808129243300062,0.00514639798340292,0.002652636033486329,0.00780543997909122,0.003849297364514933,0.041383773279091735,0.0010678541418699854,0.0034438102020933384,0.009628134688264118,0.007910127057751097
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
