auc_roc,0.5305982905982906,0.5432478632478632,0.5682051282051281,0.6005860805860805,0.6357509157509158,0.7934065934065934,0.7966788766788767,0.8657387057387058,0.8860561660561661,0.8745299145299145,0.878974358974359,0.886935286935287,0.8994871794871795,0.9013431013431014,0.8960195360195359,0.9007570207570208,0.9098901098901099,0.9122832722832723,0.908962148962149,0.9144322344322344,0.9179487179487179,0.9215628815628816,0.9192185592185592,0.9253235653235653,0.9300610500610501,0.9314774114774115,0.9527228327228328,0.9501831501831501,0.9693284493284493,0.9704029304029302,0.9672283272283273,0.962979242979243,0.9656654456654457,0.9681562881562882,0.9672283272283273,0.9682051282051283,0.9684493284493283,0.971965811965812,0.9718681318681318,0.9737240537240537,0.9756776556776557,0.9740659340659341,0.9893528693528694,0.9897924297924299,0.9885714285714287,0.9894017094017094,0.9899389499389499,0.9895482295482296,0.98989010989011,0.9869597069597069,0.987985347985348,0.9922832722832722,0.9924786324786325,0.9933577533577533,0.992967032967033,0.993992673992674,0.9923809523809524,0.9934065934065934,0.9945299145299146,0.9916971916971917,0.9894017094017094,0.9901831501831502,0.9907203907203908,0.9913064713064714,0.9918925518925519,0.9918925518925519,0.9934554334554334,0.9944322344322344,0.9942368742368742,0.9945299145299145,0.9954090354090355,0.9954090354090355,0.9950183150183151,0.9953113553113553,0.9968742368742368,0.9971672771672773,0.9974603174603175,0.9977533577533577,0.9953113553113553,0.9965323565323565,0.9963369963369964,0.9968253968253968,0.9969230769230769,0.9975579975579976,0.9976556776556776,0.9988278388278389,0.9988278388278389,0.9988278388278389,0.9988278388278389,0.9985836385836386,0.9984859584859586,0.9985836385836386,0.9983394383394384,0.9988278388278389,0.9985347985347985,0.9985347985347985,0.9985347985347985,0.9985347985347985,0.9985347985347985,0.9985347985347985,0.9985347985347985
auc_pr,0.10411565923099485,0.10750210636917051,0.11319715201397379,0.1267906444588752,0.1592342611671731,0.35802506486814256,0.3705946397064274,0.528586929019501,0.6544319249594264,0.6553326962594697,0.6602580770926754,0.668034549538094,0.711454123867286,0.7128515254073962,0.6864071079571047,0.6932058111650428,0.7280301913605272,0.7381171289866514,0.710714758454969,0.7269066174973609,0.7367034133566759,0.7514961733188522,0.7445734380632132,0.7715835354786441,0.7813232331514195,0.7823452083745088,0.8299513213715605,0.8373793066330146,0.8558660461860413,0.860573214049019,0.841691854183861,0.8599509598170227,0.8661612004592028,0.8705646273733386,0.8693994887438348,0.872847552132989,0.8721756736277682,0.8787368230009316,0.871641022438319,0.8759660790568311,0.87783077509311,0.8782837682121064,0.9283729077969463,0.9298234693494607,0.9319604962037573,0.9315435827736565,0.9278952605579186,0.9218384496726211,0.9243963986414104,0.9260201062704344,0.9256417164374386,0.9359382797415543,0.934726361391389,0.9430259646163313,0.9419920932336227,0.9445811654549716,0.9412534753598973,0.9447601566229822,0.9479413022137892,0.9367672317672966,0.9335602482041692,0.9354363930708627,0.9366235280853608,0.9354653698561424,0.9365509126686553,0.9365508518791207,0.9512529081669563,0.9537857227135282,0.9532313629958107,0.954072969581842,0.9570120065252182,0.9570120065252182,0.9556211937423384,0.9566507169708522,0.9747678073584111,0.9761359744128526,0.9776387687113458,0.9792970956233344,0.9691416889632827,0.9728533902976887,0.9689988429568357,0.9712130657644538,0.9716980882588848,0.9774702929986925,0.9780418156425643,0.9870553440941789,0.9868396838597082,0.9868397490513487,0.9868397490513487,0.9831720655248719,0.9822671820721933,0.9831720655248719,0.9807920875289454,0.9868396056482478,0.9825640300981625,0.9825640710227639,0.9825641083096228,0.9825640874952981,0.9825640874952981,0.9825640267057636,0.9825639591618363
auc_roc_bag,0.5,0.5,0.5,0.45833333333333337,0.5,0.6666666666666666,0.7916666666666666,0.7916666666666666,0.875,0.875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.875,0.875,0.875,0.9166666666666667,0.9166666666666667,0.9583333333333334,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,0.9583333333333334,1.0,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666667,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
auc_pr_bag,0.5310515873015873,0.5310515873015873,0.5310515873015873,0.5171626984126984,0.531547619047619,0.7246031746031746,0.8662698412698413,0.8662698412698413,0.9248015873015872,0.9061507936507937,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9553571428571428,0.9553571428571428,0.9742063492063491,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,1.0,1.0,0.9742063492063491,1.0,1.0,1.0,0.9742063492063491,1.0,1.0,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9553571428571428,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date,2024-05-29
Time,105.85074496269226
seed,0
Number of anomalous bags,6
Number of anomalies,45
Rewards bag 0,7.019254895339131e-07,1.3111318397301494e-06,2.253786836480734e-06,3.025850642581816e-06,3.263462181622751e-06,1.603052124585454e-06,2.1372668836963633e-06,2.3520168598945565e-06,1.1877141716488039e-06,1.6735454974568366e-06,1.2828818887806279e-06,1.6104872833298058e-06,1.0745434942283633e-06,2.0404369212425652e-06,6.591159223683958e-07,2.2721149100451082e-06,1.146283441527416e-06,1.0744048983328755e-06,9.60928474854695e-07,1.2300563324074985e-06,8.981291937884918e-07,4.444809148053401e-06,1.7901319553629297e-06,1.0063046702498309e-06,1.1321052041279413e-06,1.2998944120231453e-06,7.245362454708246e-07,2.1792872991658294e-06,1.0586585783604917e-06,9.09073490903866e-07,2.0084579204152182e-06,8.125406776643229e-07,1.124865496071893e-06,3.9548779203443585e-07,9.115333787415739e-07,8.669322219316141e-07,8.913534251243511e-07,9.363065554118544e-07,5.876019167026436e-07,1.5728515157320105e-06,6.257198761767633e-07,3.573310029509024e-06,1.542408776347104e-07,1.8634161011833425e-06,1.0698593605522177e-06,2.299992297676977e-06,6.396621552412559e-07,3.593760105154872e-07,3.142276160422046e-06,5.090096209507351e-07,2.657242109816826e-06,2.4037793372937965e-07,2.2717599174083124e-06,1.191330284951039e-06,4.4744123656480165e-07,8.480445118745514e-07,8.817615334997796e-07,1.210741879622259e-06,8.024678126407674e-07,9.763021655541813e-07,6.898764597952211e-07,1.6790645245459705e-06,3.3895443093440877e-07,5.33613749676289e-07,7.373274102924647e-07,6.504322422460525e-07,5.624154429483899e-07,5.433074127868274e-07,2.298907007612961e-07,9.518905463401368e-07,4.404925937440634e-07,4.256979768343614e-07,5.748322157838782e-07,6.438240054275846e-07,4.203686729860231e-07,5.732623756404489e-07,2.638977719083449e-07,5.118655159966542e-07,5.692526122289889e-07,2.2423888689086898e-07,2.2406826994208345e-07,4.3258179204161596e-07,4.238833861294629e-07,1.9194018854541293e-06,7.574228030634744e-06,2.4706176487217896e-06,5.493922458880257e-07,7.990347040654862e-07,1.2444241594528248e-06,5.434626235198068e-07,6.505220537812463e-07,4.073936852590291e-07,3.2800079646037465e-06,4.870160084288883e-07,7.033240271408036e-07,6.910636086149142e-07,5.668792558368721e-07,5.038692281190011e-07,5.876978038491061e-07,6.35038679786681e-07
Prob contr bag 0,0.007019254895339904,0.013111318397302937,0.022537868364809824,0.030258506425821494,0.032634621816231106,0.016030521245856307,0.021372668836965987,0.023520168598948156,0.011877141716489348,0.01673545497457021,0.01282881888780769,0.01610487283329983,0.010745434942284816,0.0204043692124279,0.006591159223684685,0.022721149100453586,0.011462834415275422,0.010744048983329937,0.009609284748548007,0.01230056332407634,0.008981291937885907,0.04444809148053891,0.017901319553631268,0.010063046702499417,0.01132105204128066,0.012998944120232885,0.007245362454709044,0.021792872991660692,0.010586585783606084,0.009090734909039661,0.020084579204154393,0.008125406776644124,0.011248654960720169,0.003954877920344794,0.009115333787416743,0.008669322219317096,0.008913534251244493,0.009363065554119575,0.005876019167027084,0.015728515157321838,0.0062571987617683214,0.035733100295094175,0.001542408776347274,0.018634161011835477,0.010698593605523355,0.022999922976772304,0.0063966215524132635,0.003593760105155268,0.03142276160422392,0.005090096209507911,0.026572421098171185,0.002403779337294061,0.022717599174085626,0.011913302849511701,0.004474412365648509,0.008480445118746448,0.008817615334998767,0.012107418796223925,0.008024678126408558,0.009763021655542888,0.006898764597952971,0.016790645245461554,0.003389544309344461,0.005336137496763477,0.007373274102925459,0.006504322422461241,0.005624154429484518,0.005433074127868872,0.002298907007613214,0.009518905463402417,0.004404925937441119,0.004256979768344083,0.005748322157839415,0.006438240054276555,0.004203686729860694,0.00573262375640512,0.0026389777190837394,0.005118655159967105,0.005692526122290516,0.0022423888689089367,0.0022406826994210813,0.004325817920416636,0.004238833861295096,0.019194018854543405,0.07574228030635578,0.024706176487220618,0.005493922458880861,0.007990347040655743,0.012444241594529618,0.005434626235198667,0.00650522053781318,0.0040739368525907396,0.03280007964604108,0.0048701600842894184,0.00703324027140881,0.0069106360861499036,0.005668792558369345,0.005038692281190566,0.005876978038491709,0.0063503867978675094
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
