auc_roc,0.4103243917654398,0.4422956955708047,0.46922437097109587,0.5212622166770638,0.5289561239342898,0.6849137034726555,0.6817945518818882,0.6952069037221875,0.7202640881680183,0.6667706383863589,0.6828342690788105,0.6915159076731129,0.6982740694531087,0.7148575587440217,0.7236951549178623,0.7400187149095446,0.7429299230609274,0.7433977957995426,0.7451653150343107,0.7464649615304637,0.7541588687876897,0.7563422749012269,0.7733416510709087,0.7501039717196922,0.7524953212726139,0.7411624038261593,0.7523393636930754,0.7532231233104596,0.7554065294239967,0.7551466001247661,0.7614368891661467,0.7630484508213766,0.7624246205032231,0.7633603659804533,0.7698066126013724,0.7863381160324392,0.7901850696610522,0.7914847161572053,0.7938760657101268,0.7950197546267416,0.8027656477438136,0.79865876481597,0.7845186109378249,0.7848825119567477,0.7869619463505927,0.7970991890205864,0.7938240798502807,0.7899251403618215,0.8374402162611769,0.8346329798294864,0.832761488875026,0.8851632355999168,0.8863589103763776,0.8899979205656061,0.8912975670617592,0.8922852983988355,0.8930650862965274,0.8909856519026825,0.8909336660428364,0.8872946558536078,0.886930754834685,0.8873986275733,0.887346641713454,0.8882823871906842,0.889478061967145,0.8884903306300687,0.8905177791640674,0.8912455812019131,0.9292992306092743,0.9295071740486588,0.9313786650031192,0.9308068205448118,0.9305988771054274,0.9299750467872739,0.9300790185069661,0.9305988771054274,0.9308068205448119,0.932158452900811,0.935225618631732,0.9348617176128093,0.9343938448741943,0.9351216469120399,0.9307028488251197,0.9322104387606571,0.933873986275733,0.9346537741734249,0.9356934913703473,0.9783738823040133,0.9784258681638595,0.9780099812850904,0.9779579954252443,0.9779579954252443,0.9779060095653982,0.9786338116032439,0.9769702640881681,0.9770742358078602,0.9739030983572468,0.9762944479101685,0.9837284258681639,0.983364524849241,0.9825847369515491
auc_pr,0.07699063241009935,0.08941223293456443,0.09422050143887152,0.11260746031840867,0.11397865122328214,0.19971330015516414,0.18385632513927125,0.1958612980047144,0.21602256500007694,0.2010129659724742,0.18258146840901254,0.1739109896862827,0.17435599374459682,0.18502475885330527,0.19356863520832168,0.2038944207910239,0.20428377264152636,0.19745895511374412,0.1995472341592745,0.2066776979609131,0.20951174841078257,0.20827733959899958,0.2925576899644539,0.27350152924321397,0.26896167851125724,0.27349611748840896,0.28653251521161516,0.2920089064893556,0.30110454460803104,0.2902483896039754,0.3043405873471997,0.31244421801085315,0.29823924917767686,0.29795213467608445,0.3027604847395471,0.3732550818989636,0.38009409918361414,0.3735366472303628,0.3777031823683433,0.37755612622617296,0.3942813405997282,0.39265395435501765,0.3853531615458783,0.3940300086327342,0.39442191889164663,0.4166892229188539,0.42071681542395406,0.4178213363556351,0.528468479026401,0.5245509284785411,0.5076896246559283,0.6199954171238153,0.6215016752542419,0.6346515972628113,0.6350109772467801,0.6371383394154269,0.6584370699820534,0.6557545047422388,0.6515287342206643,0.6485130417495846,0.6455048784890304,0.6462802581091445,0.6313814452068516,0.6339420985680521,0.629817440615627,0.6308309553383101,0.6355726260128874,0.6386520874139231,0.6982876058481688,0.697359813052363,0.7021004327980236,0.6991060456479115,0.6966259339364211,0.6955721601159863,0.6943389544975375,0.6920806062442655,0.6877884553708935,0.697973008110313,0.7065514960204359,0.7105393038036067,0.7058277652799864,0.7080898639399146,0.7126021191913487,0.714504195299364,0.7177157079041779,0.7177637389518832,0.7179058662152605,0.7914854896549894,0.7910221545655787,0.7890847695855203,0.7891362220215793,0.8000099390611067,0.8019076592730973,0.806086912140395,0.7935086992278219,0.7930302147428102,0.7907513570903962,0.8155921694250239,0.853065015608621,0.8524734835424119,0.8440412064379841
auc_roc_bag,0.45833333333333337,0.33333333333333337,0.41666666666666663,0.45833333333333337,0.45833333333333337,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5833333333333334,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.75,0.7083333333333333,0.8333333333333334,0.7916666666666667,0.75,0.75,0.75,0.75,0.75,0.75,0.7916666666666667,0.7916666666666667,0.8333333333333334,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.75,0.75,0.7916666666666667,0.7916666666666667,0.75,0.75,0.875,0.9166666666666666,0.875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.875,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.875,0.875,0.875,0.875,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.875,0.875,0.875,0.8333333333333334,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
auc_pr_bag,0.6936177248677249,0.5811177248677248,0.6077380952380952,0.6408399470899471,0.6408399470899471,0.6834986772486772,0.6834986772486772,0.6684523809523809,0.683829365079365,0.7435185185185186,0.7548611111111111,0.7548611111111111,0.7548611111111111,0.8243055555555555,0.8032738095238094,0.9104166666666667,0.8729166666666667,0.8243055555555555,0.8243055555555555,0.8243055555555555,0.8243055555555555,0.8243055555555555,0.8243055555555555,0.8729166666666667,0.8729166666666667,0.9104166666666667,0.8729166666666667,0.8729166666666667,0.8729166666666667,0.8243055555555555,0.8243055555555555,0.8729166666666667,0.8729166666666667,0.8243055555555555,0.8243055555555555,0.9248015873015872,0.9436507936507936,0.9248015873015872,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9436507936507936,0.9742063492063491,0.9742063492063491,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.8575396825396825,0.8575396825396825,0.7880952380952381,0.7880952380952381,0.7880952380952381,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.8575396825396825,0.8575396825396825,0.9436507936507936,0.9436507936507936,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.8575396825396825,0.9061507936507937,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.9061507936507937,0.8575396825396825,0.8575396825396825,0.7880952380952381,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825
Date,2024-06-01
Time,74.62302279472351
seed,52
Number of anomalous bags,6
Number of anomalies,42
Rewards bag 0,4.327807983084147e-06,1.7601672691312586e-06,4.051990692340228e-06,4.3655391081566236e-07,6.7428942580660215e-06,3.078457765607824e-06,1.1492750366216985e-06,2.5375632684243417e-06,1.700629212520829e-06,1.575698555839355e-06,9.32043561270752e-07,7.281195577531601e-07,2.090967563773438e-06,7.933412294920008e-07,1.364386280868148e-06,9.504310321737537e-07,7.03619010143043e-07,1.0885093731757765e-06,2.3357644452530784e-06,5.39990788541191e-07,2.6150931310983853e-07,2.8605446398005e-06,1.5442290568714518e-06,3.1927768060582977e-07,6.482716014300899e-07,9.262087188384918e-07,4.806483835236182e-07,4.919770795249241e-07,5.264086106044967e-07,1.6881211610864717e-06,5.995836718077267e-07,2.1946763459785704e-07,4.207013966519882e-07,1.0787735915402674e-06,3.472950470719888e-07,7.408914378073225e-07,2.0562595096617935e-07,1.2144229278179473e-06,7.827941330376066e-07,2.116327485463723e-06,2.710059444359018e-07,5.898289086782492e-07,5.018020171781e-07,2.1821657216551872e-07,1.4607296833090595e-06,3.9099212237289917e-07,4.5812281052858154e-07,3.2739810819493107e-06,6.616194796679128e-07,2.2215454074025387e-07,3.7928208191162715e-06,4.0957058171807575e-07,5.879074197245337e-07,3.9952930762263317e-07,2.925759751764912e-07,3.8423769719971863e-07,4.214122575317519e-07,2.5590757811021494e-07,1.4245200004849402e-07,1.0486155788781716e-07,2.595287020192799e-07,8.216139583236065e-07,2.941847222957176e-07,2.2458058588205987e-07,1.139244696491125e-06,2.3852114820636987e-07,2.7086699346783026e-07,1.8892472813785769e-06,6.679181714348933e-08,7.877153079403292e-07,1.9816899809834958e-07,1.218026065361042e-07,5.429304332643633e-08,9.931336531661214e-08,1.8022603201841283e-07,2.731036362363033e-07,1.521217837954723e-06,9.505102225019075e-07,3.5751226501284074e-07,7.469417629224921e-08,1.5673387169850507e-07,3.6930887263924687e-07,3.480438592125752e-07,7.078780915706852e-07,1.8806860825742294e-07,1.145155631686686e-07,4.306392538248316e-06,1.6172387107688537e-07,3.475282096414567e-07,9.976832452271434e-08,2.8483285805294515e-07,1.7044252153028346e-07,3.9015821090371434e-07,9.267386578314186e-07,1.5955475805822682e-07,1.2329133068301267e-06,3.634524076531602e-07,2.005275905924239e-06,3.3268237056132435e-07,5.76136536506687e-07
Prob contr bag 0,0.043278079830846236,0.017601672691314525,0.04051990692340674,0.004365539108157105,0.06742894258066764,0.03078457765608163,0.01149275036621825,0.02537563268424621,0.017006292125210164,0.015756985558395286,0.009320435612708547,0.007281195577532403,0.020909675637736682,0.007933412294920882,0.013643862808682983,0.009504310321738584,0.007036190101431204,0.010885093731758964,0.02335764445253336,0.005399907885412504,0.0026150931310986733,0.02860544639800815,0.015442290568716219,0.0031927768060586495,0.006482716014301612,0.009262087188385938,0.004806483835236711,0.004919770795249782,0.005264086106045547,0.016881211610866576,0.005995836718077928,0.002194676345978812,0.004207013966520345,0.010787735915403862,0.0034729504707202707,0.007408914378074041,0.00205625950966202,0.012144229278180811,0.007827941330376929,0.02116327485463956,0.002710059444359316,0.0058982890867831424,0.005018020171781553,0.0021821657216554275,0.014607296833092203,0.003909921223729422,0.00458122810528632,0.032739810819496715,0.006616194796679856,0.0022215454074027835,0.03792820819116689,0.004095705817181209,0.005879074197245984,0.003995293076226772,0.002925759751765234,0.0038423769719976093,0.004214122575317983,0.0025590757811024315,0.001424520000485097,0.001048615578878287,0.0025952870201930846,0.00821613958323697,0.0029418472229575,0.002245805858820846,0.011392446964912505,0.002385211482063961,0.002708669934678601,0.01889247281378785,0.0006679181714349669,0.00787715307940416,0.001981689980983714,0.001218026065361176,0.0005429304332644231,0.0009931336531662307,0.0018022603201843267,0.0027310363623633334,0.015212178379548906,0.009505102225020122,0.003575122650128801,0.0007469417629225743,0.0015673387169852233,0.0036930887263928753,0.0034804385921261356,0.007078780915707632,0.0018806860825744366,0.0011451556316868121,0.043063925382487905,0.001617238710769032,0.0034752820964149495,0.0009976832452272533,0.002848328580529765,0.0017044252153030225,0.003901582109037573,0.009267386578315207,0.0015955475805824438,0.012329133068302625,0.0036345240765320026,0.0200527590592446,0.0033268237056136097,0.005761365365067505
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
