auc_roc,0.5306339337903183,0.5264360486742122,0.5763855677772464,0.6055582124448695,0.6220309261916148,0.63552792390669,0.6353685105478506,0.6107125777140125,0.6068866571018652,0.630745523141506,0.6502470907062011,0.6504596418513204,0.6632127105584781,0.6423826983367873,0.6583771720070142,0.6881343323237153,0.6839364472076093,0.7020032945427493,0.6955736224028907,0.7015250544662309,0.7090706201179658,0.7115680960731176,0.7190605239385728,0.7329294861576067,0.7377650247090707,0.742494287687975,0.748498857537595,0.7485519953238747,0.74398214570381,0.746639035017801,0.7297943567670971,0.7315479037143312,0.7301663212710559,0.7463202083001222,0.7516339869281046,0.7499335777671502,0.7532281205164992,0.7512620224241457,0.7622084063977894,0.761730166321271,0.7498804399808704,0.7529624315851001,0.7567352144109676,0.766565704872735,0.7563101121207291,0.7608799617407939,0.7672564960943727,0.7652903980020193,0.7634837132685053,0.7624740953291886,0.7574260056326054,0.7526436048674212,0.7486582708964346,0.7580105212816834,0.7660874647962166,0.7764493331207822,0.7705510388437218,0.7571603167012063,0.7635899888410648,0.7693288697592858,0.7962697274031565,0.8004144747329827,0.7814442850310855,0.7887241617514215,0.7722514480046762,0.852117540783251,0.8236888251235454,0.804506084276529,0.7638025399861841,0.7621552686115096,0.7668845315904138,0.7615176151761519,0.7651309846431797,0.7727296880811945,0.7779903289228971,0.8007333014506616,0.8076412136670388,0.8008927148095011,0.8039747064137308,0.8081725915298369,0.8129549922950209,0.8231043094744673,0.8387799564270152,0.8329879377225144,0.8306498751262023,0.8294808438280461,0.8288431903926882,0.8208193846644348,0.8353791381051064,0.8516393007067325,0.8710877304851481,0.8600350709389447,0.8617886178861789,0.8853817949944205,0.8755513045326532,0.8869759285828152,0.8872947553004942,0.8778362293426856,0.8844253148413838,0.8892077156065679,0.8904830224772836
auc_pr,0.11579366348411554,0.10222754974908368,0.15055315991055407,0.15803995162243645,0.16712961152348446,0.16824366944566055,0.18301315401579538,0.19440187470233963,0.1949594342696478,0.20098538487294434,0.22271757984969448,0.2231509527116372,0.22126060294233543,0.21193031074236096,0.23129958685842714,0.2657049568064897,0.25920149400109704,0.2669376966449668,0.24722022714113123,0.2715119120614607,0.3071271565298712,0.32800696390035805,0.3412310307618067,0.36993052806341636,0.39175746114141624,0.4111542315034247,0.3993738665792898,0.41512855394422143,0.40492533368390843,0.4076309135887802,0.3806232717710531,0.3877316854429805,0.3922031921278766,0.42175809631257083,0.42592035616079155,0.4219870952075861,0.41986841835306143,0.4213942139957283,0.4337721750162217,0.43358134609177473,0.42732197320027737,0.4248005423770206,0.4247687551313983,0.43512762058818016,0.43245408305650457,0.4328454532219502,0.44276367807027917,0.4363575638280406,0.42648248151724866,0.4239536226136853,0.4263084831651817,0.42121671557067136,0.42175233392477685,0.43056943138027215,0.4363601503281233,0.4467333375048088,0.44247678692992937,0.43881465359461286,0.43401582549819706,0.43245987087342413,0.47017046786256333,0.4688572875027946,0.46176098801558374,0.4778291106395088,0.4716461552802726,0.49758555095737317,0.49596572237501185,0.4937883225962791,0.4855222057832752,0.4858271343815519,0.48593144418896944,0.494076420700188,0.4931413657266063,0.4934138871348109,0.4870016705945441,0.5221526814320527,0.520126538831872,0.5092535891873383,0.5194782100544011,0.5303318117001463,0.528592211198284,0.5528102195697537,0.5402935325647007,0.5322608540225423,0.5415051447033585,0.5469865495636652,0.5792543369978439,0.5836343741783337,0.5943215653378566,0.6181824793176031,0.6339791418014121,0.6240533673682237,0.6246163755499348,0.6418732926500309,0.6369288050007273,0.6706413340517418,0.6637038937080102,0.6559978742546463,0.6608744976311177,0.669763173582099,0.67320589704099
auc_roc_bag,0.32,0.31999999999999995,0.32,0.28,0.28,0.4,0.4800000000000001,0.6000000000000001,0.68,0.6800000000000002,0.68,0.6000000000000001,0.68,0.8,0.8,0.92,1.0,0.9600000000000001,0.9600000000000001,0.92,0.92,0.88,0.9600000000000001,0.92,0.92,0.88,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.8,0.8,0.8400000000000001,0.9600000000000001,1.0,1.0,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9600000000000001,1.0,1.0,0.88,0.92,0.9600000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9600000000000001,0.92,0.92,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.92,0.9600000000000001,0.9600000000000001,1.0,0.9600000000000001,0.9600000000000001,1.0,1.0,0.84,0.8,0.84,0.92,0.92,1.0,0.9600000000000001,0.9600000000000001,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.8,0.8400000000000001,0.88,0.8,0.8400000000000001,0.6799999999999999,0.6400000000000001,0.72,0.68,0.6399999999999999,0.6399999999999999
auc_pr_bag,0.38015873015873014,0.38305555555555554,0.38015873015873014,0.36924603174603177,0.36924603174603177,0.40825396825396826,0.4449206349206349,0.508888888888889,0.5688888888888889,0.7077777777777778,0.5688888888888889,0.508888888888889,0.5688888888888889,0.7514285714285713,0.7514285714285713,0.9380952380952381,1.0,0.9633333333333334,0.9633333333333334,0.9380952380952381,0.9380952380952381,0.8930952380952379,0.9633333333333334,0.9380952380952381,0.9380952380952381,0.8930952380952379,0.9633333333333334,0.9633333333333334,0.9633333333333334,0.8064285714285713,0.8064285714285713,0.8347619047619046,0.9633333333333334,1.0,1.0,0.9633333333333334,0.9633333333333334,0.9633333333333334,0.9633333333333334,0.9633333333333334,0.9633333333333334,1.0,1.0,0.919642857142857,0.9380952380952381,0.9633333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9633333333333334,0.9380952380952381,0.9380952380952381,0.919642857142857,0.919642857142857,0.919642857142857,0.919642857142857,0.919642857142857,0.919642857142857,0.919642857142857,0.9380952380952381,0.9633333333333334,0.9633333333333334,1.0,0.9633333333333334,0.9633333333333334,1.0,1.0,0.8647619047619046,0.8463095238095237,0.8647619047619046,0.9380952380952381,0.9380952380952381,1.0,0.9633333333333334,0.9633333333333334,0.919642857142857,0.919642857142857,0.919642857142857,0.919642857142857,0.919642857142857,0.919642857142857,0.919642857142857,0.8605555555555555,0.9055555555555554,0.919642857142857,0.8163095238095237,0.874642857142857,0.7627777777777778,0.7432539682539683,0.8211111111111111,0.8015873015873016,0.7873015873015872,0.7873015873015872
Date,2024-05-31
Time,75.68262195587158
seed,26
Number of anomalous bags,5
Number of anomalies,41
Rewards bag 0,3.3556597308992294e-06,4.822617256204454e-06,3.7532048686249996e-06,2.459779979834788e-06,3.231944918380162e-06,5.0714358043989925e-06,4.385556822527379e-06,2.587795478630226e-06,3.1610535923327153e-06,3.844528538971644e-06,2.054132639162902e-06,2.6005401890390316e-06,5.9798068655263324e-06,3.6004815411426373e-06,3.403672364606243e-06,1.7129509017594519e-06,2.057048386153729e-06,1.3608235820354637e-06,2.1311754757365368e-06,1.3976400791952561e-06,3.5091346091394285e-06,1.31167460720286e-06,3.5032041644243305e-06,9.659434772353187e-07,2.4513755504009303e-06,2.8656397143448563e-06,1.4502712864131837e-06,5.987837969056222e-07,1.779371721173229e-06,1.2691627610277606e-06,1.3528027014491055e-06,1.1595344319719937e-06,1.8677881555177273e-06,1.311101806532607e-06,7.916530726242851e-07,1.32440441236506e-06,6.887960377797603e-07,1.2615655901371103e-06,1.2349957338589415e-06,8.50445733645004e-07,1.0484572079155116e-06,7.81412686870055e-07,2.1554524283296247e-06,7.957724884080662e-07,7.363400833733824e-07,1.1683257820274219e-06,6.82960341124292e-07,6.239315330125692e-07,4.7287616300267074e-07,9.68546715917812e-07,6.381296630244065e-07,6.940947282528545e-07,1.2826980253576846e-06,5.322309625603444e-07,1.1589729035232846e-06,7.712155769147123e-07,9.89062566205379e-07,1.0066756573986346e-06,1.001726178990327e-06,2.8282745981523707e-06,7.083480639151992e-07,5.902069884298799e-07,1.717772809472196e-06,8.88450318060912e-07,3.1439223809561824e-06,1.2857270610014608e-06,6.567847314536652e-07,4.066314977528871e-06,4.880644738804983e-07,1.3104388463240232e-06,6.290731543786622e-07,1.510926394963275e-06,5.432908964986332e-07,8.680651181279084e-07,3.5732778009407903e-06,7.329499809715791e-07,7.07584613660487e-07,8.787416934835117e-07,4.920887323742164e-07,3.3058820863682353e-06,2.280137899168985e-06,2.846322915354764e-06,2.1169659579330765e-06,5.944087869612319e-07,4.2611928933254203e-07,1.2848340355097898e-06,4.6835853864515285e-07,1.1832053053220079e-06,1.016398403978453e-06,1.6784378749229092e-06,7.182703515850584e-07,2.720136574843301e-07,1.7534925998001397e-06,8.399992736766361e-07,1.3335139780780303e-06,6.592009744445646e-07,6.171690958273368e-07,5.897781049993338e-07,3.626007579804489e-07,5.759898735148134e-07
Prob contr bag 0,0.03355659730899599,0.048226172562049856,0.03753204868625413,0.024597799798350587,0.03231944918380518,0.05071435804399551,0.04385556822527862,0.02587795478630511,0.031610535923330636,0.038445285389720675,0.02054132639163128,0.02600540189039318,0.05979806865526991,0.03600481541143034,0.03403672364606618,0.017129509017596405,0.02057048386153956,0.013608235820356135,0.021311754757367716,0.0139764007919541,0.03509134609139815,0.013116746072030044,0.03503204164424716,0.00965943477235425,0.024513755504012004,0.02865639714345172,0.014502712864133434,0.005987837969056882,0.01779371721173425,0.012691627610279003,0.013528027014492544,0.011595344319721214,0.01867788155517933,0.013111018065327513,0.007916530726243723,0.013244044123652059,0.006887960377798362,0.012615655901372492,0.012349957338590775,0.008504457336450976,0.010484572079156271,0.00781412686870141,0.02155452428329862,0.007957724884081538,0.007363400833734635,0.011683257820275504,0.006829603411243672,0.006239315330126379,0.004728761630027228,0.009685467159179185,0.006381296630244768,0.006940947282529309,0.012826980253578259,0.00532230962560403,0.011589729035234121,0.007712155769147973,0.00989062566205488,0.010066756573987454,0.010017261789904372,0.028282745981526823,0.007083480639152773,0.00590206988429945,0.01717772809472385,0.008884503180610098,0.031439223809565285,0.012857270610016024,0.006567847314537376,0.040663149775293186,0.00488064473880552,0.013104388463241676,0.0062907315437873155,0.015109263949634412,0.005432908964986931,0.00868065118128004,0.03573277800941184,0.007329499809716598,0.007075846136605649,0.008787416934836085,0.004920887323742706,0.03305882086368599,0.02280137899169236,0.028463229153550776,0.021169659579333096,0.0059440878696129735,0.004261192893325889,0.012848340355099314,0.0046835853864520445,0.01183205305322138,0.01016398403978565,0.01678437874923094,0.007182703515851374,0.0027201365748436004,0.01753492599800333,0.008399992736767286,0.013335139780781772,0.006592009744446372,0.006171690958274047,0.005897781049993988,0.0036260075798048887,0.0057598987351487685
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
