auc_roc,0.5043148263672281,0.5053545435641507,0.5075899355375337,0.5105011436889166,0.5168954044499896,0.5281763360365981,0.5240174672489084,0.5290600956539822,0.5234456227906008,0.5255770430442919,0.5258889582033688,0.5286442087752131,0.5490226658348929,0.5570284882511956,0.5437201081305885,0.5433562071116657,0.5343626533582866,0.5377937201081305,0.5352983988355167,0.5107090871283011,0.5124246205032231,0.5142961114576835,0.5155437720939904,0.5128405073819922,0.5169473903098358,0.5152318569349137,0.5169993761696818,0.5186629236847577,0.5228737783322936,0.5246412975670617,0.5291120815138283,0.531607402786442,0.5315034310667498,0.5299438552713661,0.5313474734872115,0.5334788937409024,0.5348305260969016,0.5326991058432106,0.5176751923476814,0.5223019338739863,0.523445622790601,0.5246932834269079,0.5277084632979829,0.5232376793512165,0.5205864004990642,0.5203784570596798,0.5225618631732168,0.520066541900603,0.5202744853399875,0.5278644208775214,0.5142441255978374,0.5133083801206072,0.512372634643377,0.5181430650862966,0.50509461426492,0.5229257641921398,0.5254210854647536,0.5229777500519859,0.525577043044292,0.5266687461010605,0.5242254106882928,0.52131420253691,0.5210542732376793,0.52386150966937,0.5250051985859846,0.520014556040757,0.5197026408816802,0.5148159700561447,0.5162715741318361,0.5159596589727594,0.5174152630484508,0.5169473903098357,0.5266687461010605,0.5267727178207527,0.5259929299230609,0.5264608026616759,0.5243813682678311,0.5264088168018299,0.5276044915782907,0.5295279683925972,0.5075899355375337,0.5082657517155333,0.5141921397379912,0.5140361821584529,0.5187149095446039,0.5198066126013724,0.5148159700561447,0.5138802245789146,0.514971927635683,0.5164795175712207,0.5134123518402993,0.5189748388438344,0.5187149095446039,0.5181950509461426,0.5184029943855272,0.5210542732376794,0.520482428779372,0.5223019338739863,0.5217820752755251,0.5214181742566022
auc_pr,0.08476205361631622,0.08416141607780807,0.08486615593999047,0.0851939767061636,0.0866569231586742,0.09354551017785746,0.09179491951981616,0.09362441270015777,0.09279309601730644,0.09355383067074813,0.08973392396662236,0.09044211634396102,0.0959226831920707,0.09835979954231554,0.09511870123168764,0.09503243909975088,0.09255180160557051,0.09392060508381986,0.09837917766162409,0.0941328553975683,0.0945990787776565,0.09501983745763407,0.09624911367354338,0.10309061095992712,0.10421307454029606,0.10017622317948871,0.10061043432192424,0.10106085790513272,0.10197192415472242,0.10242752866601454,0.11037869860579225,0.11113543497439382,0.10871253004249148,0.10919775391662166,0.10993391953212088,0.10802283236977599,0.1083487699608063,0.10941696180576943,0.1048375064750019,0.10620052962312101,0.10640097593309802,0.10676146993993457,0.10760193860310917,0.10466196619070037,0.10483091026954411,0.10532062702445036,0.10591661159445624,0.10610421556905711,0.105116813715105,0.10705955874493768,0.10495114324088935,0.1050535444577651,0.10683898220042562,0.10787811860989813,0.10412566050391601,0.10741834112185061,0.10808593929601196,0.10810225529215187,0.10878034383730482,0.10929760895589734,0.10917421991822956,0.10938729353849494,0.10948629497039211,0.11065984205520414,0.1113748903912933,0.1083690844656421,0.10987085356510952,0.10884518747401543,0.10986978565180977,0.10721311666251945,0.10829892796949252,0.10728356759501058,0.10928118167695197,0.10952056720211095,0.10936633514242823,0.10849776743231282,0.10739652432586663,0.10785965870801106,0.10961255236409978,0.110441877032598,0.11026909678713553,0.11008905564733448,0.1095584490091297,0.10795390559899087,0.10802489143611825,0.10873162587166688,0.1084731479238959,0.1086619008506267,0.10912148792034546,0.10963867346094194,0.10939949131328122,0.11095040897889588,0.11128461756886543,0.1119840992990164,0.11251795593875015,0.11289010692934404,0.11251517866260831,0.1123048891695238,0.11191516068790772,0.111664862627115
auc_roc_bag,0.47619047619047616,0.5238095238095237,0.5714285714285714,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5714285714285714,0.5714285714285714,0.4761904761904762,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.38095238095238093,0.4285714285714286,0.42857142857142855,0.38095238095238093,0.38095238095238093,0.42857142857142855,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.38095238095238093,0.38095238095238093,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.42857142857142855,0.38095238095238093,0.38095238095238093,0.42857142857142855,0.42857142857142855,0.47619047619047616,0.47619047619047616,0.47619047619047616
auc_pr_bag,0.25456349206349205,0.27400793650793653,0.30456349206349204,0.3214285714285714,0.34444444444444444,0.30178571428571427,0.28888888888888886,0.28888888888888886,0.28888888888888886,0.28888888888888886,0.30178571428571427,0.30178571428571427,0.2611111111111111,0.5059523809523809,0.5059523809523809,0.5059523809523809,0.22817460317460317,0.24166666666666664,0.25595238095238093,0.22817460317460317,0.22817460317460317,0.25595238095238093,0.22817460317460317,0.22817460317460317,0.22817460317460317,0.22817460317460317,0.22817460317460317,0.22817460317460317,0.21825396825396823,0.21825396825396823,0.21825396825396823,0.21825396825396823,0.21825396825396823,0.21825396825396823,0.21825396825396823,0.24107142857142858,0.24107142857142858,0.24107142857142858,0.24107142857142858,0.22718253968253968,0.22718253968253968,0.22718253968253968,0.22718253968253968,0.22718253968253968,0.22718253968253968,0.24107142857142858,0.24107142857142858,0.22718253968253968,0.22718253968253968,0.22718253968253968,0.22718253968253968,0.22718253968253968,0.24107142857142858,0.24107142857142858,0.24107142857142858,0.24107142857142858,0.24107142857142858,0.24107142857142858,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.25456349206349205,0.22718253968253968,0.22718253968253968,0.24067460317460315,0.24067460317460315,0.24067460317460315,0.24067460317460315,0.22718253968253968,0.22718253968253968,0.22718253968253968,0.22718253968253968,0.22718253968253968,0.22718253968253968,0.24107142857142858,0.22718253968253968,0.22718253968253968,0.24107142857142858,0.24107142857142858,0.25456349206349205,0.25456349206349205,0.25456349206349205
Date,2024-05-24
Time,150.42164206504822
seed,2
Number of anomalous bags,3
Number of anomalies,42
Rewards bag 0,5.174560170768591e-07,4.526736337562105e-07,1.2028522255451796e-06,5.607025399041793e-07,1.7560245490998836e-06,4.860170427508735e-07,7.167927850675396e-07,7.250633449068783e-07,1.2683273500385201e-07,2.4244879915807635e-06,1.3786893493374421e-07,1.7203664665745331e-06,5.009329200746238e-07,1.8726804871599447e-06,8.217161774688318e-07,1.17772673768004e-06,3.9087240086923334e-07,2.1172278129200145e-06,9.085660896967779e-07,4.129298291585464e-07,1.1430575420733768e-07,1.1753505632076789e-06,1.5540447132314384e-06,1.0103017884668594e-06,3.6964478203773786e-07,8.753368049158871e-07,1.9260466036749478e-07,2.2835198258638698e-07,5.568379649976906e-07,2.7932915867951477e-06,6.392529367331872e-07,1.9435674296826778e-07,2.6359257687571466e-06,4.2330352515711737e-07,8.355904052890551e-07,2.671929163243469e-07,8.715883148036542e-07,2.907457701852237e-07,6.098276855891212e-07,1.6780285316228837e-07,4.6324648043108044e-07,2.6904304208468837e-07,6.3121397686582e-07,8.340981159815695e-07,9.855302938955048e-07,1.3465075889482864e-06,4.197884787088369e-07,6.358882986445994e-07,7.234837912095879e-07,1.0609886078745183e-06,8.530019496358821e-07,1.6790630546261998e-06,7.823374422632684e-07,1.9368602616835928e-07,9.349626306672483e-07,3.921120973646113e-07,8.942013709835728e-07,7.517245584477352e-07,7.274491501217339e-07,8.400230653433015e-07,3.1823667085526517e-07,2.0048751936690076e-06,3.379339584742325e-07,3.845635929425797e-07,9.989968215775707e-07,6.805068156157818e-07,5.651257346467579e-07,4.016218047338258e-07,4.081524373358351e-07,2.5505632196044405e-07,1.8264647458609435e-06,5.152772609340364e-07,2.235586587971955e-07,2.925670398810227e-07,5.163930376477801e-07,4.97569021121986e-07,1.6685684506464854e-07,6.095048519207672e-07,2.2207223369623777e-07,1.0536622873332145e-05,2.2290480906950487e-07,2.3444507071847317e-06,9.285541178330911e-07,9.511131887228838e-07,9.731418080162108e-07,1.8508013721003196e-06,2.331505461940466e-07,6.198847301792913e-07,3.617515919197426e-07,4.550026079330126e-07,5.954328320393658e-07,3.283012002697286e-06,1.4412502820028157e-06,4.600910304882544e-07,2.696392182640459e-06,3.5286632716743345e-07,8.556877717570781e-07,3.069721420146431e-07,4.259502831364942e-07
Prob contr bag 0,0.00517456017076916,0.004526736337562604,0.01202852225545312,0.00560702539904241,0.01756024549100077,0.004860170427509271,0.007167927850676186,0.007250633449069582,0.0012683273500386598,0.024244879915810303,0.001378689349337594,0.017203664665747225,0.005009329200746791,0.01872680487160151,0.008217161774689223,0.011777267376801697,0.003908724008692764,0.021172278129202478,0.00908566089696878,0.004129298291585919,0.0011430575420735027,0.011753505632078083,0.015540447132316096,0.010103017884669706,0.003696447820377786,0.008753368049159835,0.00192604660367516,0.0022835198258641214,0.00556837964997752,0.027932915867954555,0.006392529367332576,0.001943567429682892,0.02635925768757437,0.00423303525157164,0.008355904052891472,0.002671929163243763,0.008715883148037501,0.002907457701852557,0.006098276855891883,0.0016780285316230685,0.004632464804311315,0.00269043042084718,0.006312139768658895,0.008340981159816614,0.009855302938956133,0.013465075889484346,0.004197884787088831,0.006358882986446695,0.007234837912096676,0.010609886078746352,0.00853001949635976,0.016790630546263847,0.007823374422633545,0.0019368602616838062,0.009349626306673513,0.003921120973646545,0.008942013709836712,0.00751724558447818,0.00727449150121814,0.00840023065343394,0.003182366708553002,0.020048751936692283,0.003379339584742697,0.0038456359294262205,0.009989968215776806,0.006805068156158567,0.005651257346468201,0.0040162180473387,0.0040815243733588,0.0025505632196047216,0.018264647458611446,0.005152772609340932,0.0022355865879722012,0.0029256703988105497,0.005163930376478369,0.004975690211220408,0.0016685684506466691,0.0060950485192083435,0.0022207223369626224,0.10536622873333305,0.002229048090695294,0.023444507071849897,0.009285541178331934,0.009511131887229886,0.00973141808016318,0.018508013721005235,0.002331505461940723,0.006198847301793596,0.0036175159191978246,0.004550026079330627,0.0059543283203943136,0.032830120026976474,0.014412502820029744,0.004600910304883051,0.02696392182640756,0.003528663271674723,0.008556877717571723,0.0030697214201467695,0.0042595028313654115
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
