auc_roc,0.44282806513409967,0.4457614942528736,0.4440852490421456,0.4515684865900383,0.45659722222222227,0.4706058429118774,0.47096503831417624,0.47377873563218387,0.4770114942528736,0.4788074712643679,0.4822198275862069,0.4849137931034483,0.5114343869731801,0.5125718390804598,0.5161039272030651,0.5144875478927203,0.5165229885057471,0.5185584291187739,0.5141882183908046,0.5175407088122604,0.5202346743295019,0.5277777777777778,0.5269995210727969,0.5300526819923371,0.5305914750957854,0.5261015325670498,0.5263409961685823,0.5204142720306515,0.5212523946360154,0.5208333333333333,0.5176005747126438,0.5163433908045977,0.513469827586207,0.5114343869731801,0.5116139846743295,0.5090397509578545,0.509279214559387,0.5085009578544062,0.5090397509578544,0.5107159961685824,0.5103568007662835,0.5111350574712643,0.5110153256704981,0.5118534482758621,0.511793582375479,0.5123922413793103,0.5142480842911876,0.5133500957854407,0.513948754789272,0.5161039272030652,0.5161039272030651,0.5365780651340997,0.5346623563218391,0.5352011494252874,0.5353208812260537,0.5355004789272031,0.5326269157088124,0.533704501915709,0.5341235632183909,0.5323275862068966,0.5331657088122606,0.5326867816091954,0.5344827586206896,0.5331058429118775,0.5313098659003832,0.5556752873563219,0.5554358237547893,0.5547772988505748,0.5563338122605364,0.5575311302681993,0.5594468390804598,0.5589080459770115,0.5571120689655173,0.5605244252873565,0.5590277777777778,0.5599257662835249,0.5607638888888888,0.5614822796934866,0.5610033524904214,0.5613625478927203,0.5581896551724137,0.5594468390804598,0.5602250957854407,0.5601053639846744,0.559147509578544,0.5577705938697318,0.5608836206896551,0.5606441570881225,0.5590876436781609,0.5590277777777778,0.5588481800766284,0.56040469348659,0.5603448275862069,0.5613026819923371,0.5614822796934865,0.5613625478927203,0.5615421455938696,0.5630387931034482,0.562919061302682,0.5630387931034482
auc_pr,0.05963141067826293,0.059604316617412015,0.05937571483522324,0.060217117903164724,0.060817105034695035,0.06239208730970092,0.06246936823123431,0.06300609820380536,0.06362575978432823,0.06411594878282116,0.06865845278244889,0.06923345072408063,0.08175455753834707,0.08196640466008032,0.08286894607055194,0.0794266624893408,0.079821506752054,0.07996488346481895,0.07551980089646479,0.07575667423318744,0.07591734255801778,0.08683460810310303,0.08687470792966859,0.08733853802013364,0.08760332538292334,0.08686672075929916,0.08684812668412971,0.08572681518931877,0.08590888711875466,0.08592414226434042,0.08215573033046994,0.08179977609923067,0.08152779434583911,0.08000565945452918,0.07995774318360885,0.07946638936766555,0.07812424874240156,0.07807113906811472,0.07816469170677305,0.07839313459324881,0.07835875903913264,0.07860173667761026,0.07712538835922489,0.07731577393612563,0.07719508674138244,0.07726331705824332,0.07829507716720338,0.07822300604494926,0.07820660009793334,0.07826747519672496,0.07827295650710588,0.0847193752541675,0.08374607961781058,0.08390273088055403,0.08391796536088354,0.08301997061336996,0.082538590269249,0.08318069445460927,0.08325116510728386,0.08233646507337719,0.08239622147508441,0.08200952190156242,0.08263971362075354,0.08247386856112657,0.08124661785134478,0.08318440688998789,0.08326671820300727,0.08311439149834615,0.08421623508982162,0.08453781370188215,0.08489363812155092,0.0847157152611167,0.08456682708185,0.08665145854240705,0.08658082010171578,0.08649930043029246,0.08772713968525628,0.08783457957411321,0.08723473865968608,0.08935214977253131,0.08903238217709583,0.089231252568019,0.08944015651747683,0.08947968318484185,0.08946440442279643,0.08944154331404786,0.09036304068562417,0.09013349642634556,0.09001662039714575,0.08993128592449491,0.08972605504768602,0.09006517238267037,0.08989370838757044,0.09000613860349096,0.0899554919479266,0.08847602837267154,0.08805574015958137,0.08855845533838266,0.08854847681311,0.08848082710155357
auc_roc_bag,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.625,0.6666666666666667,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.7083333333333333,0.7083333333333333,0.875,0.875,0.8333333333333333,0.75,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.8333333333333333,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9166666666666667,0.875,0.875,0.875,0.8333333333333334,0.875,0.875,0.875,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.875,0.875,0.875,0.875,0.875
auc_pr_bag,0.3952380952380953,0.5654761904761905,0.5654761904761905,0.4196428571428571,0.4196428571428571,0.4369047619047619,0.46190476190476193,0.5014880952380952,0.5014880952380952,0.4878472222222222,0.6753472222222222,0.6753472222222222,0.8839285714285714,0.8839285714285714,0.8110119047619048,0.6889880952380952,0.706845238095238,0.706845238095238,0.706845238095238,0.706845238095238,0.8110119047619048,0.8524305555555556,0.8524305555555556,0.8524305555555556,0.8524305555555556,0.8524305555555556,0.8524305555555556,0.8524305555555556,0.8524305555555556,0.8524305555555556,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8839285714285714,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.9083333333333333,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.7958333333333334,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.73125,0.73125,0.73125,0.706845238095238,0.706845238095238,0.706845238095238,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.8839285714285714
Date,2024-05-22
Time,141.39636874198914
seed,0
Number of anomalous bags,4
Number of anomalies,36
Rewards bag 0,1.1943572069966005e-06,1.5712279977026834e-06,1.0275597526999906e-06,4.4488842686084214e-07,2.123700462935921e-06,1.3268736281439859e-07,8.177674595381468e-07,5.724090064374387e-07,3.74215920058749e-07,3.491632489078233e-07,1.8822615012654844e-07,4.593915142540926e-06,3.321802071857404e-07,1.9881087125615137e-06,8.277513562495582e-07,5.634500112831409e-07,8.93382675131428e-07,1.3981553083879113e-06,6.055023057381279e-07,4.256048581876353e-07,3.860684534879486e-06,5.675564953403828e-07,1.648224658546875e-07,5.061422030072905e-07,8.966382776262368e-07,2.9043215083161796e-07,1.1413399446383107e-06,3.069714531788573e-07,3.674080796022774e-07,9.503621538489614e-07,1.8095433758763228e-07,1.6577114123251842e-07,3.8337098272317485e-07,1.480073624521076e-07,3.4059989682057096e-07,4.406906536209501e-07,2.2337361047629357e-07,1.47518505533221e-07,1.5163839873445278e-07,1.284012710294395e-07,1.5229735622572583e-07,1.5831018605560028e-07,1.8140088533715872e-07,4.6283921243906396e-07,1.4405157664068383e-07,6.210438516356025e-07,1.9811952074479986e-07,2.4189696096244706e-07,1.1156575472890088e-07,1.055121099585515e-07,2.4442455602152988e-06,4.054725459642415e-07,3.2102408442445625e-07,8.366695910208641e-08,1.1162190343440163e-06,5.712217159817148e-07,3.388083226413235e-07,6.217466271814522e-08,1.4769042774833723e-07,4.315531303050949e-07,4.772415883310511e-07,1.4240915148815259e-07,1.2984583525467604e-07,3.813450973544914e-07,3.138311910655392e-06,1.8502167493810364e-07,1.2373087486511848e-07,4.234140915919901e-07,9.563881250418717e-08,1.0997683781891232e-07,1.6059106754987848e-07,1.1980019132476737e-07,2.364626399340861e-06,2.2527651036613892e-07,1.8284713875215784e-07,5.718321085953806e-07,8.86535419601561e-08,5.271819593545628e-07,2.145081051750044e-06,2.915363756141881e-07,1.3012744357008613e-07,5.3668999410646535e-08,7.513749843175637e-08,7.636384461174133e-08,2.8355511725561956e-07,1.9406527948805696e-07,7.948024926571472e-08,1.4879025856292736e-07,1.198617354195649e-07,5.719691063538944e-08,7.430184264605544e-08,1.3292989919854822e-07,5.016274607790484e-08,3.21379985959135e-08,3.434938714425332e-07,4.874327800228326e-07,2.3577820947680477e-07,2.421451156543239e-07,9.842592888222191e-08
Prob contr bag 0,0.01194357206996732,0.015712279977028565,0.010275597527001037,0.004448884268608911,0.02123700462936155,0.001326873628144132,0.008177674595382368,0.005724090064375018,0.003742159200587902,0.0034916324890786176,0.0018822615012656916,0.04593915142541431,0.00332180207185777,0.019881087125617328,0.008277513562496494,0.005634500112832029,0.008933826751315264,0.013981553083880653,0.006055023057381945,0.004256048581876822,0.038606845348799115,0.005675564953404453,0.0016482246585470565,0.005061422030073462,0.008966382776263356,0.0029043215083164996,0.011413399446384365,0.003069714531788911,0.0036740807960231785,0.00950362153849066,0.0018095433758765222,0.0016577114123253669,0.0038337098272321706,0.001480073624521239,0.0034059989682060847,0.0044069065362099865,0.0022337361047631817,0.0014751850553323723,0.0015163839873446948,0.0012840127102945365,0.0015229735622574261,0.001583101860556177,0.001814008853371787,0.0046283921243911496,0.001440515766406997,0.0062104385163567095,0.001981195207448217,0.002418969609624737,0.0011156575472891317,0.0010551210995856312,0.02444245560215568,0.0040547254596428614,0.0032102408442449162,0.0008366695910209563,0.011162190343441392,0.005712217159817777,0.003388083226413608,0.0006217466271815206,0.001476904277483535,0.004315531303051424,0.004772415883311037,0.0014240915148816828,0.0012984583525469035,0.003813450973545334,0.031383119106557375,0.00185021674938124,0.001237308748651321,0.004234140915920367,0.0009563881250419771,0.0010997683781892443,0.0016059106754989616,0.0011980019132478055,0.02364626399341121,0.0022527651036616373,0.0018284713875217798,0.005718321085954436,0.0008865354196016586,0.005271819593546208,0.021450810517502802,0.002915363756142202,0.0013012744357010046,0.0005366899941065244,0.0007513749843176465,0.0007636384461174974,0.0028355511725565077,0.0019406527948807833,0.0007948024926572348,0.0014879025856294375,0.001198617354195781,0.0005719691063539574,0.0007430184264606361,0.0013292989919856286,0.0005016274607791036,0.0003213799859591704,0.0034349387144257102,0.004874327800228863,0.0023577820947683075,0.002421451156543506,0.0009842592888223275
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
